mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_cv_rmse,std_cv_rmse,mean_train_rmse,cv_rank
0.43053498268127444,0.02976753873769141,0.003165864944458008,0.0006741430351019482,0.03,3,0.8,1,400,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}",-0.05264250152817423,-0.06627976952287098,-0.04979296972165097,-0.04656221789576043,-0.050958206063900106,-0.05324713294647134,0.0068128366247427645,1,-0.03284517722767694,-0.03246676557173581,-0.02910035311614885,-0.03155520118201413,-0.02987966576792507,-0.031169432573100165,0.0014549638268510005,0.05324713294647134,0.0068128366247427645,0.031169432573100165,1
0.38610076904296875,0.01200877193604411,0.003141164779663086,0.00041083922623613603,0.05,3,0.8,1,400,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}",-0.05251376220964796,-0.06892083192528331,-0.050386500331574845,-0.04582778689954425,-0.05291453220388111,-0.054112682713986296,0.007820451755381503,2,-0.029066044295814636,-0.028942006998371864,-0.024209653247812598,-0.027709740023115225,-0.025637292541068297,-0.027112947421236527,0.0019038320372688378,0.054112682713986296,0.007820451755381503,0.027112947421236527,2
0.19649710655212402,0.007600050163831967,0.0034725189208984373,0.0016548159403864504,0.1,3,,1,200,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",-0.06191797807542792,-0.06242451281211401,-0.05080100265166174,-0.045307855553309524,-0.05075034268929722,-0.054240338356362085,0.006778277245001822,3,-0.028745856672455206,-0.028523079977918583,-0.02399397841035409,-0.028088763888071216,-0.025165553221181816,-0.02690344643399618,0.0019446306986188537,0.054240338356362085,0.006778277245001822,0.02690344643399618,3
0.3941206455230713,0.008878988991650091,0.0030048370361328127,0.00019186978051235188,0.1,3,,1,400,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}",-0.06208925668800407,-0.06273717903790449,-0.050602364477064087,-0.045001259479929806,-0.05100058081062823,-0.05428612809870614,0.0069696886362062265,4,-0.024731809734407487,-0.024167429653032178,-0.018512738319375728,-0.0236637396973195,-0.019660941595006344,-0.022147331799828245,0.00254763499980677,0.05428612809870614,0.0069696886362062265,0.022147331799828245,4
0.3749546527862549,0.024880199195160598,0.0028818130493164064,0.0005331893103597759,0.1,2,,3,400,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'max_features': None, 'min_samples_leaf': 3, 'n_estimators': 400, 'subsample': 0.8}",-0.0612698350287087,-0.056329630918705395,-0.050742865609272554,-0.04747853879553758,-0.05620368802141173,-0.0544049116747272,0.004805258282686949,5,-0.03396977193710803,-0.03405745934583264,-0.03165464071861382,-0.03398267767170994,-0.03242925436805508,-0.0332187608082639,0.0009920477811882955,0.0544049116747272,0.004805258282686949,0.0332187608082639,5
0.19776029586791993,0.00549282090163249,0.002491617202758789,0.000232411458150529,0.05,3,0.8,1,200,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",-0.05230457580996184,-0.07014760583558811,-0.04957981631258946,-0.048341586813847995,-0.052643437551506994,-0.05460340446469889,0.0079397113040453,6,-0.03401391884979559,-0.03415332542302761,-0.0305288853788528,-0.03322432505720767,-0.03146845442084417,-0.032677781825945565,0.0014381536267094857,0.05460340446469889,0.0079397113040453,0.032677781825945565,6
0.41521549224853516,0.02583080252333257,0.0027423381805419924,6.340596767889065e-05,0.03,3,,1,400,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}",-0.05602172461135599,-0.06974608613848333,-0.05117283552618736,-0.0465913546941047,-0.049960883668197065,-0.054698576927665686,0.0081090307119625,7,-0.03220003343360139,-0.03206172385538817,-0.028949460777971447,-0.03133082634688442,-0.02964834431434104,-0.030838077745637293,0.0013097613500188878,0.054698576927665686,0.0081090307119625,0.030838077745637293,7
0.3637657165527344,0.007301042899817206,0.002692556381225586,9.269763412659743e-05,0.1,2,0.8,3,400,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 400, 'subsample': 0.8}",-0.06078775987963346,-0.054272913478116434,-0.0518495056113001,-0.0482459433257625,-0.05903800513142269,-0.05483882548524703,0.004598811042150088,8,-0.033855966355660745,-0.03430343879304731,-0.03177191497969195,-0.03426194686882952,-0.03265814092758822,-0.033370281584963545,0.0009963592896813944,0.05483882548524703,0.004598811042150088,0.033370281584963545,8
0.3951247692108154,0.025508692514778688,0.002732086181640625,0.0001041164298784945,0.03,3,0.8,3,400,0.8,"{'learning_rate': 0.03, 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 400, 'subsample': 0.8}",-0.05796260150108179,-0.06534741508594358,-0.052417997860224684,-0.04707721078661082,-0.05159097894071345,-0.05487924083491487,0.006274262367601852,9,-0.03402124840761982,-0.034474591643745195,-0.030960184524389,-0.032699620890490236,-0.03191315805008787,-0.03281376070326643,0.0013020171777431277,0.05487924083491487,0.006274262367601852,0.03281376070326643,9
0.34486021995544436,0.005288789126437207,0.002644777297973633,0.00022342876583603802,0.05,3,,1,400,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}",-0.0546952243944445,-0.06934684669677514,-0.053428334162394724,-0.04705557335579541,-0.050935174077378034,-0.05509223053735757,0.007589324396042983,10,-0.029517135832554203,-0.028215784751302316,-0.024551983813471605,-0.0269773447545135,-0.025817187861056183,-0.027015887402579562,0.0017438568965892742,0.05509223053735757,0.007589324396042983,0.027015887402579562,10
