feature,bin,feature_min,feature_max,n,mean_feature,mean_shap,median_shap,spearman_overall,linear_slope_overall
Sn,3,0.0,0.0,389,0.0,0.0644347243055076,0.06338228794374653,-0.7473479500234208,-0.351705792765099
Sn,4,0.0,1.0,518,0.1407915057915058,0.0003458686213182503,0.06229578290527357,-0.7473479500234208,-0.351705792765099
Br,2,0.0,0.14,254,0.03378740157480315,-0.08630888779115171,-0.09518463720919221,0.9644249288250676,0.6059191933698931
Br,3,0.15,0.256,134,0.17969402985074628,-0.030237816946254284,-0.03886837706282523,0.9644249288250676,0.6059191933698931
Br,4,0.267,1.0,130,0.5644923076923077,0.21558022493268894,0.1555004631574273,0.9644249288250676,0.6059191933698931
Cl,3,0.0,0.0,491,0.0,-0.045566357775424296,-0.04574839549252048,0.3851744350959731,1.48453068322045
Cl,4,0.0,1.0,518,0.025316602316602318,-0.005116385986799818,-0.045682102157739865,0.3851744350959731,1.48453068322045
