rank,feature,mean_abs_shap,median_abs_shap,mean_shap,std_shap,max_abs_shap,spearman_feature_shap,pearson_feature_shap
1,Br,0.10779220517557483,0.07707376537543785,0.003959660755789489,0.15548371802479416,0.5864988833881887,0.9644249288250676,0.9735500262711275
2,Sn,0.09661424356530945,0.06499173685064669,0.0003458686213182503,0.11804674447161291,0.3704320463536299,-0.7473479500234208,-0.8656806511960523
3,Cl,0.08126616871487327,0.045818916218802457,-0.005116385986799818,0.19574820510495955,1.3617104502176678,0.3851744350959731,0.9899174341925754
4,Cs,0.012836892733786236,0.009046755019388293,0.0009753444248259391,0.024181435344514134,0.14403456282374785,0.5790605286408378,0.8205264987313241
5,MA,0.012104312997828525,0.01063457553801173,-0.0006227399135375091,0.014311061995327154,0.0430852787791827,0.7686168506086707,0.7881934888727401
