Term,Raw term,Coefficient,SE,t,p-value,OLS CI low,OLS CI high,OLS CI crosses 0?,Bootstrap mean,Bootstrap SD,Bootstrap CI low,Bootstrap CI high,Bootstrap CI crosses 0?,Bootstrap sign stability,VIF,VIF flag
Intercept,Intercept,1.5552651680420202,0.004406211935513564,352.9710306276375,0.0,1.5466085674372447,1.5639217686467957,No,1.5544965237587753,0.0048511343393895165,1.5449380841463756,1.5641773428940067,No,1.0,,
Sn,Sn,-1.1025280815784506,0.032178515805477585,-34.26286309298246,2.825993181461516e-134,-1.165747137642763,-1.0393090255141382,No,-1.1009581972586953,0.04094721974270512,-1.1849788878135383,-1.025274982996332,No,1.0,15.16898962277373,High but tolerable for raw polynomial terms
Br,Br,0.3431953132457202,0.029218012764839093,11.746018321229597,2.347897445220347e-28,0.2857925666978596,0.4005980597935809,No,0.34775802784843973,0.035870479609559996,0.27538841840056155,0.416535966733132,No,1.0,9.245247429096413,Moderate but usually acceptable
Cl,Cl,1.6193177112496755,0.02243445368519032,72.17994848337392,1.553463192518366e-269,1.5752421860181842,1.6633932364811668,No,1.623873080239583,0.03935364807490362,1.5488304091040517,1.7032589777718645,No,1.0,1.488011856739516,Low
Cs,Cs,0.12267888917628159,0.012679720005705587,9.675204903663397,1.9441269352157467e-20,0.09776786050217372,0.14758991785038944,No,0.12432311025161623,0.020682962534098986,0.08217977643082801,0.16309378126662707,No,1.0,1.579750114261936,Low
Sn²,Sn2,0.9170216432831477,0.03685643495410183,24.880910061570955,5.237610445211206e-90,0.8446121809642728,0.9894311056020226,No,0.9153517708957953,0.04565017634145354,0.8282817578348476,1.0061595184064658,No,1.0,15.786310623222805,High but tolerable for raw polynomial terms
Br²,Br2,0.36607403560749485,0.03337682574126518,10.967910443170217,2.85362488312908e-25,0.3005007372446584,0.4316473339703313,No,0.3626288611104932,0.037784391894490996,0.2878747354673041,0.4367034276180088,No,1.0,9.123414234172477,Moderate but usually acceptable
Cs·Sn,CsSn,-0.22715626984385914,0.025116285133037913,-9.044182634519395,3.1707995256319624e-18,-0.27650061647411894,-0.17781192321359932,No,-0.2274210318578338,0.0416795503038334,-0.30895978158487675,-0.14261615526101898,No,1.0,2.0114731486076285,Low
Cs·Cl,CsCl,-0.3252750459356003,0.04208035705343392,-7.729854704478003,5.790894321656213e-14,-0.40794761131583696,-0.24260248055536365,No,-0.36720399330087755,0.14885730097210445,-0.7262263481921188,-0.14877086206789034,No,0.999,1.7276684330770273,Low
