metric,value
Best Test RMSE,0.05979499329660841
Median Test RMSE,0.12183035536349429
IQR Test RMSE,0.05345012134480323
Best Test R2,0.9771742732288686
Median Test R2,0.9052435643019494
IQR Test R2,0.06981600441793334
Unique Structures,20.0
