split_id,group_strategy,group_column,heldout_groups,n_train,n_test,train_Eg_mean,test_Eg_mean,train_Eg_std,test_Eg_std,selected_stage,selected_family,selected_terms,n_terms,n_candidates_scored,inner_cv_method,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,train_rmse,train_mae,test_rmse,test_mae,test_r2,test_median_ae,test_max_ae,high_Eg_rmse,Cl_rich_rmse,MA_rich_rmse,formula_jaccard_to_M4,coefficients,selected_formula_string,screening_cv_pruning_scope,outer_test_group_used_for_selection,external_test_used_for_selection
composition_gss_10,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__mixed_halide;FA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__Br_rich;MA_rich__Sn_rich__mixed_halide;MA_rich__mixed_B__I_rich,448,59,1.6417410714285714,1.7348474576271191,0.28780541977462115,0.4516358318440797,M4_subset,core,"Sn,Br,Cl,Sn2,Br2",5,1161,GroupKFold(composition_family),0.07644482456245627,0.031332203092224134,0.06037894821887026,0.022990607383031415,0.06253449768044128,0.043079744517728856,0.0680412226704209,0.04888391346468312,0.976911726679745,0.03461716920308433,0.19990486385996697,0.040911478647465534,0.05456912390401105,0.05890162369776524,0.625,"{""Br"": 0.3128237619572301, ""Br2"": 0.4148813270639244, ""Cl"": 1.5265236359579815, ""Intercept"": 1.5699190479314837, ""Sn"": -1.1162698071453367, ""Sn2"": 0.8734833935235159}",Eg = 1.56992 - 1.11627*Sn + 0.312824*Br + 1.52652*Cl + 0.873483*Sn^2 + 0.414881*Br^2,current_outer_train_only,False,False
composition_gss_11,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;mixed_A__Pb_rich__I_rich,368,139,1.6496141304347827,1.6604172661870504,0.35589740433949585,0.1427293424876779,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Cs,CsSn,CsBr,CsCl",8,1161,GroupKFold(composition_family),0.07042285813939889,0.016144104617155278,0.051619532391807166,0.012910715453758017,0.05851326825733858,0.039636351238824225,0.07352428791971423,0.0541946539729058,0.7327173073922782,0.046882654983404715,0.2867942812480093,0.2530564087102086,,0.06431704589675319,0.7777777777777778,"{""Br"": 0.7039009400090471, ""Cl"": 1.6237178936805592, ""Cs"": 0.22839119256268214, ""CsBr"": -0.32933599339695896, ""CsCl"": -0.32265826357072863, ""CsSn"": -0.2643952380937798, ""Intercept"": 1.5026102228154192, ""Sn"": -1.014202159727741, ""Sn2"": 0.8465366332513085}",Eg = 1.50261 - 1.0142*Sn + 0.703901*Br + 1.62372*Cl + 0.846537*Sn^2 + 0.228391*Cs - 0.264395*Cs*Sn - 0.329336*Cs*Br - 0.322658*Cs*Cl,current_outer_train_only,False,False
composition_gss_12,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;FA_rich__Sn_rich__I_rich;FA_rich__mixed_B__I_rich;MA_rich__Sn_rich__I_rich,432,75,1.6795092592592593,1.4974400000000003,0.30135690798943615,0.3297884350487323,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsCl",8,1161,GroupKFold(composition_family),0.0723108516438222,0.02579753116576725,0.05888568921091737,0.020629527960504816,0.05596728025262369,0.040605077404030646,0.046350421985153246,0.03488830261456183,0.9799799072651031,0.027264796470861885,0.15630921567139278,0.01854398731178258,,0.07298542710316433,1.0,"{""Br"": 0.33599824502812936, ""Br2"": 0.37453029355590206, ""Cl"": 1.6197149572841951, ""Cs"": 0.12378420746289179, ""CsCl"": -0.3351024828957637, ""CsSn"": -0.22060406789180376, ""Intercept"": 1.5556361509814407, ""Sn"": -1.1405263174379967, ""Sn2"": 0.9605633542137312}",Eg = 1.55564 - 1.14053*Sn + 0.335998*Br + 1.61971*Cl + 0.960563*Sn^2 + 0.37453*Br^2 + 0.123784*Cs - 0.220604*Cs*Sn - 0.335102*Cs*Cl,current_outer_train_only,False,False
composition_gss_13,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__mixed_B__Br_rich;MA_rich__mixed_B__I_rich,381,126,1.6798818897637795,1.5700079365079365,0.32730593963221116,0.24423272495001144,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,SnBr,Cs,CsSn",7,1161,GroupKFold(composition_family),0.07163852187149504,0.020883008293057562,0.05230796896393388,0.017203037319441193,0.055409639716348554,0.03859724744520933,0.08523122907151215,0.06789037189939486,0.877241852922542,0.061117587435639886,0.30802370671840906,0.23585767788334494,0.23585767788334494,0.07464635087109167,0.6666666666666666,"{""Br"": 0.7090740178383358, ""Cl"": 1.5837979823730994, ""Cs"": 0.15072134858861103, ""CsSn"": -0.30197239003885323, ""Intercept"": 1.5008663580240804, ""Sn"": -0.98289735941962, ""Sn2"": 0.8610898491832434, ""SnBr"": -0.29031342320129366}",Eg = 1.50087 - 0.982897*Sn + 0.709074*Br + 1.5838*Cl + 0.86109*Sn^2 - 0.290313*Sn*Br + 0.150721*Cs - 0.301972*Cs*Sn,current_outer_train_only,False,False
composition_gss_14,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__Br_rich;MA_rich__Pb_rich__Cl_containing;MA_rich__Pb_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,454,53,1.6029030837004408,2.078075471698113,0.2524162429033025,0.4325707967425503,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn",7,1161,GroupKFold(composition_family),0.06470028653556967,0.017175410943438513,0.05139415493351166,0.01123784561937083,0.05409207984710497,0.03945527548454629,0.11365774530809802,0.07838993497554356,0.9296350787530844,0.04237320774842823,0.2982842528784464,0.19045097174013909,0.20920013177416635,0.1419672119138502,0.875,"{""Br"": 0.2879632172727823, ""Br2"": 0.426075298050999, ""Cl"": 1.3453073769111419, ""Cs"": 0.12077923691742509, ""CsSn"": -0.2246070723840753, ""Intercept"": 1.5583346924246468, ""Sn"": -1.0946934303562035, ""Sn2"": 0.904791693556837}",Eg = 1.55833 - 1.09469*Sn + 0.287963*Br + 1.34531*Cl + 0.904792*Sn^2 + 0.426075*Br^2 + 0.120779*Cs - 0.224607*Cs*Sn,current_outer_train_only,False,False
composition_gss_15,composition_family_group_shuffle,composition_family,FA_rich__Sn_rich__I_rich;FA_rich__Sn_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__Br_rich,378,129,1.6703809523809523,1.6004031007751938,0.3517581802247941,0.13079537449890985,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Br2,Cs,CsSn,CsBr,CsCl",9,1161,GroupKFold(composition_family),0.06962611289766948,0.020928138012427686,0.051128331652846984,0.018088230241313383,0.05154827109476375,0.036096951972735346,0.0646539832749548,0.050202865005834985,0.7537447249329895,0.04891002628075092,0.30264433191122153,,,0.06336685867945574,0.8888888888888888,"{""Br"": 0.4162645998461628, ""Br2"": 0.3404678985931028, ""Cl"": 1.6353350903738797, ""Cs"": 0.2021534826702669, ""CsBr"": -0.1786519750610096, ""CsCl"": -0.35113183413696497, ""CsSn"": -0.24817204077396718, ""Intercept"": 1.5260784763210768, ""Sn"": -0.9941259990395486, ""Sn2"": 0.8075395878129427}",Eg = 1.52608 - 0.994126*Sn + 0.416265*Br + 1.63534*Cl + 0.80754*Sn^2 + 0.340468*Br^2 + 0.202153*Cs - 0.248172*Cs*Sn - 0.178652*Cs*Br - 0.351132*Cs*Cl,current_outer_train_only,False,False
composition_gss_16,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__I_rich;Cs_rich__Sn_rich__Br_rich;FA_rich__Pb_rich__Cl_containing;FA_rich__Sn_rich__mixed_halide;MA_rich__Sn_rich__Cl_containing,487,20,1.6404024640657084,1.9489999999999998,0.3031298704315121,0.38535192391262024,M4_subset,core,"Sn,Br,Cl,Sn2,Br2",5,1161,GroupKFold(composition_family),0.14889179480306863,0.19619235397962725,0.08775826934274503,0.0923872152320867,0.05878448987145622,0.040621534647363906,0.13163251733714046,0.11118074276407461,0.8771747363176452,0.09873217926526434,0.2299518944164889,0.05256372984204153,0.07777012625100571,0.12611079677675535,0.625,"{""Br"": 0.33249195789199215, ""Br2"": 0.3941614249304492, ""Cl"": 1.5275337804832099, ""Intercept"": 1.566001753768235, ""Sn"": -1.0670348750010044, ""Sn2"": 0.8136763087265398}",Eg = 1.566 - 1.06703*Sn + 0.332492*Br + 1.52753*Cl + 0.813676*Sn^2 + 0.394161*Br^2,current_outer_train_only,False,False
composition_gss_17,composition_family_group_shuffle,composition_family,FA_rich__mixed_B__I_rich;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide;MA_rich__mixed_B__I_rich;mixed_A__Pb_rich__I_rich,337,170,1.729192878338279,1.5006941176470587,0.33719337245165637,0.17550545928085123,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Br2,SnBr,Cs,CsSn,CsBr,CsCl",10,1161,GroupKFold(composition_family),0.06988814970471724,0.03000267270385473,0.05302286316702949,0.026077655222429195,0.05358492052507418,0.0367306637749937,0.06929445656661833,0.058047604872402764,0.8431884878439786,0.05512134690065751,0.20199747401676538,,,0.06713215714673165,0.8,"{""Br"": 0.4952219910502935, ""Br2"": 0.26991197112769794, ""Cl"": 1.6316017253208177, ""Cs"": 0.20347164570746756, ""CsBr"": -0.17980702854884248, ""CsCl"": -0.3539843672024126, ""CsSn"": -0.2572013380029523, ""Intercept"": 1.5167522434682084, ""Sn"": -1.2732012351521897, ""Sn2"": 1.128317353599388, ""SnBr"": -0.11937017346879245}",Eg = 1.51675 - 1.2732*Sn + 0.495222*Br + 1.6316*Cl + 1.12832*Sn^2 + 0.269912*Br^2 - 0.11937*Sn*Br + 0.203472*Cs - 0.257201*Cs*Sn - 0.179807*Cs*Br - 0.353984*Cs*Cl,current_outer_train_only,False,False
composition_gss_18,composition_family_group_shuffle,composition_family,Cs_rich__Sn_rich__mixed_halide;FA_rich__Pb_rich__I_rich;FA_rich__Pb_rich__mixed_halide;MA_rich__Pb_rich__I_rich;MA_rich__Pb_rich__mixed_halide,195,312,1.721594871794872,1.6094391025641026,0.48639459922899325,0.07821231806809142,M4_subset,A_site_extension,"Sn,Br,Cl,Sn2,Br2,Cs,CsCl",7,1161,GroupKFold(composition_family),0.08328606352898331,0.01920890091868278,0.0644593588199541,0.0152686547993932,0.07439775226062936,0.05536101994393225,0.08746955283733569,0.07722043375244236,-0.2547514381339544,0.07693573428913592,0.23823075528658944,,,0.06592244067076485,0.875,"{""Br"": 0.24754561624032906, ""Br2"": 0.3818383609948324, ""Cl"": 1.5289248094922316, ""Cs"": 0.034876366904056794, ""CsCl"": -0.2922894733572175, ""Intercept"": 1.646472824217919, ""Sn"": -1.3409322615034793, ""Sn2"": 1.051688854218619}",Eg = 1.64647 - 1.34093*Sn + 0.247546*Br + 1.52892*Cl + 1.05169*Sn^2 + 0.381838*Br^2 + 0.0348764*Cs - 0.292289*Cs*Cl,current_outer_train_only,False,False
composition_gss_19,composition_family_group_shuffle,composition_family,Cs_rich__Pb_rich__Br_rich;Cs_rich__Sn_rich__Br_rich;MA_rich__Pb_rich__I_rich;MA_rich__Sn_rich__Br_rich;MA_rich__mixed_B__mixed_halide,407,100,1.6608894348894347,1.6187399999999998,0.33789695876157316,0.16850403106409198,M4_subset,core,"Sn,Br,Cl,Sn2,SnBr",5,1161,GroupKFold(composition_family),0.08426245033443003,0.020781664149783392,0.05738915985669647,0.011240149559726374,0.06597239869744645,0.04399578412805197,0.06924837806809082,0.05585934584850899,0.8294061276551468,0.04965344558552742,0.18368419350334264,0.15872378755434707,,0.06286690084967447,0.4444444444444444,"{""Br"": 0.697961195440533, ""Cl"": 1.5220167153321826, ""Intercept"": 1.521387330505662, ""Sn"": -0.9603540987514958, ""Sn2"": 0.7865493443961592, ""SnBr"": -0.3405795576208761}",Eg = 1.52139 - 0.960354*Sn + 0.697961*Br + 1.52202*Cl + 0.786549*Sn^2 - 0.34058*Sn*Br,current_outer_train_only,False,False
