split_id,group_strategy,feature,pearson_r_train_only,spearman_r_train_only,train_mean,train_sd,screening_used_test_group,external_test_used
composition_gss_00,composition_family_group_shuffle,FA,-0.22777889583354846,-0.1688458521257701,0.5468470744680851,0.37497567194608566,False,False
composition_gss_00,composition_family_group_shuffle,MA,0.12020869944468338,-0.0019324248528683758,0.3149348404255319,0.38126300337550173,False,False
composition_gss_00,composition_family_group_shuffle,Cs,0.15051972240172304,0.03966929211636957,0.13821808510638298,0.26295832935794866,False,False
composition_gss_00,composition_family_group_shuffle,Pb,0.33737052036568094,0.5095678408770478,0.8760851063829788,0.2890321194450921,False,False
composition_gss_00,composition_family_group_shuffle,Sn,-0.337370520365681,-0.5095678408770478,0.12391489361702128,0.2890321194450921,False,False
composition_gss_00,composition_family_group_shuffle,Br,0.6068518756759655,0.7368640494905708,0.2586303191489362,0.26891559823043215,False,False
composition_gss_00,composition_family_group_shuffle,Cl,0.7115504290491711,0.42278001562044065,0.03425531914893617,0.1520262388700205,False,False
composition_gss_00,composition_family_group_shuffle,I,-0.8678327534991792,-0.8134455699961816,0.7071143617021277,0.3126942024084523,False,False
composition_gss_01,composition_family_group_shuffle,FA,-0.11912142470564639,-0.06053485908966575,0.48905483870967736,0.38000167692351433,False,False
composition_gss_01,composition_family_group_shuffle,MA,-0.014127066080222784,-0.09823366844146654,0.38551505376344086,0.3983940238812263,False,False
composition_gss_01,composition_family_group_shuffle,Cs,0.20770679147405813,0.15100181087610814,0.12543010752688172,0.2450304079409761,False,False
composition_gss_01,composition_family_group_shuffle,Pb,0.3798487940877215,0.5860998138905414,0.8846559139784946,0.2503698770123215,False,False
composition_gss_01,composition_family_group_shuffle,Sn,-0.3798487940877215,-0.5860998138905414,0.1153440860215054,0.25036987701232155,False,False
composition_gss_01,composition_family_group_shuffle,Br,0.578264056402091,0.6728286084941362,0.1825268817204301,0.2266872271490828,False,False
composition_gss_01,composition_family_group_shuffle,Cl,0.7375061435294059,0.38696234894583065,0.027698924731182795,0.13733483692853074,False,False
composition_gss_01,composition_family_group_shuffle,I,-0.8408387628258447,-0.7249408369980664,0.7897741935483871,0.2763554342811621,False,False
composition_gss_02,composition_family_group_shuffle,FA,-0.3144250159952328,-0.21069393994592509,0.5640012315270937,0.36495147909995523,False,False
composition_gss_02,composition_family_group_shuffle,MA,0.1905159189619824,0.04926435512189299,0.3148903940886699,0.377154717810553,False,False
composition_gss_02,composition_family_group_shuffle,Cs,0.18231444972729902,0.06575184283432174,0.12110837438423645,0.235285228697589,False,False
composition_gss_02,composition_family_group_shuffle,Pb,0.46263439138591467,0.6481020290580191,0.8400862068965519,0.30016683419806794,False,False
composition_gss_02,composition_family_group_shuffle,Sn,-0.4626343913859148,-0.6481020290580191,0.15991379310344828,0.30016683419806794,False,False
composition_gss_02,composition_family_group_shuffle,Br,0.6559626598140306,0.7624207544118823,0.23417733990147782,0.25832810619097385,False,False
composition_gss_02,composition_family_group_shuffle,Cl,0.6655662338093632,0.3478580677376476,0.022571428571428576,0.1233807059027677,False,False
composition_gss_02,composition_family_group_shuffle,I,-0.8640985043824116,-0.8042184049531825,0.7432512315270936,0.2911376678912337,False,False
composition_gss_03,composition_family_group_shuffle,FA,-0.24312890904758688,-0.209414358735659,0.48560744680851065,0.3789508672011837,False,False
composition_gss_03,composition_family_group_shuffle,MA,0.1725888457280443,0.11195918157603182,0.40162659574468085,0.4006369614470339,False,False
composition_gss_03,composition_family_group_shuffle,Cs,0.10134417215592913,0.0195863181232775,0.1127659574468085,0.22683534439213665,False,False
composition_gss_03,composition_family_group_shuffle,Pb,0.37456698903310603,0.5994480212621961,0.8650531914893618,0.2837137723610176,False,False
composition_gss_03,composition_family_group_shuffle,Sn,-0.37456698903310603,-0.5994480212621961,0.1349468085106383,0.28371377236101764,False,False
composition_gss_03,composition_family_group_shuffle,Br,0.5796538826084936,0.6858283005938917,0.17538510638297872,0.21945625427155463,False,False
composition_gss_03,composition_family_group_shuffle,Cl,0.7477207358148897,0.386028961941298,0.027404255319148935,0.13663043075654605,False,False
composition_gss_03,composition_family_group_shuffle,I,-0.8473117791135777,-0.7359249148962811,0.7972106382978723,0.2707032779730394,False,False
composition_gss_04,composition_family_group_shuffle,FA,-0.18321239819387974,-0.04604522538795627,0.5638143274853801,0.3661872786556807,False,False
composition_gss_04,composition_family_group_shuffle,MA,0.0869192030307784,-0.08817915293591012,0.30646345029239763,0.3726083392339105,False,False
composition_gss_04,composition_family_group_shuffle,Cs,0.13831668433326452,0.04582266157889249,0.12972222222222224,0.2508969166593765,False,False
composition_gss_04,composition_family_group_shuffle,Pb,0.2928582701396001,0.4565063100145827,0.8834736842105264,0.2729300838745108,False,False
composition_gss_04,composition_family_group_shuffle,Sn,-0.2928582701396002,-0.4565063100145827,0.11652631578947367,0.2729300838745108,False,False
composition_gss_04,composition_family_group_shuffle,Br,0.6083744141397356,0.7485079578557919,0.2637192982456141,0.2788560053299857,False,False
