"Term","Coefficient"
"Intercept","1.55783676234508"
"Sn","-1.10137989940063"
"Br","0.350484302120355"
"Cl","1.52544315989994"
"Cs","0.0987911345428311"
"Sn^2","0.913361232911137"
"Br^2","0.360639659674057"
"Cs*Sn","-0.250451472527942"
