"Stage","TermCount","Terms","CV_RMSE_Mean","CV_RMSE_Std","CV_R2","Fold_RMSE"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Sn","0.058596153775284","0.00903351949415499","0.963374507942327","0.07214679;0.05499175;0.06306397;0.05311581;0.04966246"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Sn","0.0579340908846481","0.00916986919489152","0.964157983476893","0.07112024;0.05552069;0.06300363;0.05166483;0.04836106"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Sn","0.0624932327230333","0.00837560007401981","0.958564391318343","0.07104655;0.05444300;0.06431160;0.05306703;0.06959799"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Sn","0.0613829452531408","0.00750183655138986","0.960111565837957","0.07000321;0.05570072;0.06371759;0.05170521;0.06578799"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Sn","0.0591729748152505","0.0092286673109799","0.96263335894318","0.07342288;0.05561934;0.06307418;0.05314356;0.05060491"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Sn","0.0585961298340765","0.0094259442858667","0.96331037307813","0.07271341;0.05606406;0.06300377;0.05168871;0.04951069"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Sn","0.0632113394042753","0.0086967365887294","0.957571493989974","0.07252763;0.05519176;0.06536517;0.05309459;0.06987755"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Sn","0.0621043798804162","0.00798926001860359","0.959112884849624","0.07180055;0.05637515;0.06483489;0.05173463;0.06577668"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Br","0.0626916397562197","0.0132746601270366","0.957365867751231","0.08190562;0.05850630;0.06992331;0.05457099;0.04855197"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Br","0.0621169262463038","0.0123009806395821","0.958324904352714","0.07995236;0.06147098;0.06744151;0.05243205;0.04928772"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Br","0.0660962638214852","0.0100341009711587","0.953458767856169","0.07651024;0.05762571;0.06835876;0.05378135;0.07420525"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Br","0.06461530066811","0.00869362297719163","0.955682307178094","0.07512844;0.06087865;0.06633015;0.05203790;0.06870136"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Br","0.0637156156784014","0.0130755155482464","0.95605673248138","0.08311475;0.05886134;0.07065267;0.05457568;0.05137362"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Br","0.0631955254336094","0.012207349380638","0.956931174262639","0.08147508;0.06180279;0.06805192;0.05244177;0.05220608"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Br","0.0666478051139278","0.0103594722159608","0.952636614744307","0.07728770;0.05809084;0.06915464;0.05372211;0.07498374"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Br","0.065131252748344","0.0090630211423213","0.954925082483873","0.07619411;0.06131729;0.06717587;0.05199170;0.06897730"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Sn + Cs*Br","0.0577267139074221","0.00878672913971559","0.964471927004932","0.07087495;0.05324909;0.06235809;0.05280489;0.04934655"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Sn + Cs*Br","0.0575882913679589","0.00915266588311046","0.964579658100016","0.07008061;0.05392207;0.06409574;0.05160678;0.04823626"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Sn + Cs*Br","0.0609461949875277","0.00764682023725263","0.960655773923708","0.06958179;0.05294430;0.06382331;0.05283268;0.06554888"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Sn + Cs*Br","0.0604973195972177","0.00723847949935426","0.961269781650656","0.06881325;0.05425204;0.06485241;0.05172512;0.06284378"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Sn + Cs*Br","0.0581862337022253","0.00916714728504492","0.963856567857584","0.07235464;0.05353323;0.06229233;0.05281071;0.04994026"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Sn + Cs*Br","0.0581282158838484","0.00953005411800594","0.963865987043573","0.07180313;0.05421175;0.06403133;0.05161207;0.04898280"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Sn + Cs*Br","0.0618363954809802","0.00830471649680995","0.959422716915545","0.07129068;0.05334114;0.06519839;0.05283184;0.06651993"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Cl","0.0604628927861131","0.00915930523358785","0.961028642801382","0.07337382;0.05621596;0.06672267;0.05338750;0.05261452"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Cl","0.0595457252393006","0.00879516858149397","0.962231179640359","0.07160013;0.05969192;0.06420558;0.05146049;0.05077050"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Cl","0.0656634709893061","0.0104725101360852","0.95399064170167","0.07302060;0.05631304;0.06829305;0.05330335;0.07738732"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Cl","0.0641222950751938","0.0084365825896542","0.956389802046325","0.07141667;0.05981750;0.06730026;0.05145088;0.07062616"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Cl","0.0603640558803021","0.00899418587065112","0.961177956974718","0.07280437;0.05695383;0.06664235;0.05325765;0.05216208"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Cl","0.0594896742052718","0.00873447760768183","0.962309441656013","0.07118279;0.06028013;0.06410493;0.05134347;0.05053706"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Cl","0.0657727793052375","0.0103059199189909","0.953868997058873","0.07247976;0.05709465;0.06860188;0.05317453;0.07751308"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Cl","0.0641838219084485","0.00830433260373209","0.956323945922488","0.07101716;0.06043699;0.06797237;0.05133544;0.07015715"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Sn + Cs*Cl","0.0579973930308164","0.00515778706743001","0.964593591319421","0.06511280;0.05301287;0.05820630;0.05307546;0.06057954"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Sn + Cs*Cl","0.0571763751358839","0.00471247082944044","0.965614347891528","0.06406936;0.05405299;0.05798122;0.05169148;0.05808683"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Sn + Cs*Cl","0.0608312402026884","0.00771612637785928","0.960807942549163","0.06587961;0.05307996;0.06159774;0.05313562;0.07046327"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Sn + Cs*Cl","0.0599928892371686","0.00672677800784136","0.961976581663009","0.06457259;0.05374517;0.06374375;0.05171433;0.06618861"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Sn + Cs*Cl","0.057984363230476","0.00482372844724329","0.964636100250829","0.06488559;0.05381917;0.05811997;0.05308761;0.06000947"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Sn + Cs*Cl","0.0572150843231859","0.00457173785690285","0.965577537195882","0.06403560;0.05477215;0.05804340;0.05170706;0.05751721"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Sn + Cs*Cl","0.0610537727279755","0.00747727966103818","0.960553429771152","0.06563409;0.05384351;0.06227100;0.05315223;0.07036804"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Br + Cs*Cl","0.0602902837794641","0.00975874414877506","0.961149695305693","0.07470560;0.05618394;0.06576105;0.05335947;0.05144136"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Br + Cs*Cl","0.0594449384744413","0.0093321234587665","0.962273718821335","0.07279536;0.05946369;0.06352943;0.05146708;0.04996914"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Br + Cs*Cl","0.0652576711781715","0.0101205377146777","0.954602975626389","0.07431978;0.05632565;0.06699890;0.05329895;0.07534506"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl","0.0638456250868181","0.00839654898556484","0.956763229729064","0.07257517;0.05960608;0.06635360;0.05148510;0.06920818"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Br + Cs*Cl","0.0602376484889922","0.00969378856639443","0.96122610440297","0.07443479;0.05660761;0.06572883;0.05322206;0.05119495"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Br*Cl + Cs*Br + Cs*Cl","0.0594351184542502","0.00930969926532802","0.962289044686697","0.07260106;0.05987898;0.06347454;0.05134484;0.04987617"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Br*Cl + Cs*Br + Cs*Cl","0.0654415280368837","0.0101772542660189","0.954342568977918","0.07407180;0.05676751;0.06726120;0.05315844;0.07594869"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Cs*Sn + Cs*Br + Cs*Cl","0.0566949941811049","0.00513508140594215","0.966160988461376","0.06387364;0.05155588;0.05559216;0.05262958;0.05982371"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Br + Cs*Sn + Cs*Br + Cs*Cl","0.056446748266856","0.00463354895844794","0.966490182662169","0.06307321;0.05259979;0.05710924;0.05150027;0.05795124"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Sn*Cl + Cs*Sn + Cs*Br + Cs*Cl","0.0583753939945815","0.00680687794009679","0.963979979569573","0.06455104;0.05149615;0.05681962;0.05261672;0.06639344"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Br^2 + Br*Cl + Cs*Sn + Cs*Br + Cs*Cl","0.0568228618902519","0.00505220919549685","0.966015659999925","0.06393944;0.05200068;0.05573773;0.05259252;0.05984394"
"M3","5","Sn + Br + Cl + Cs + Cl^2","0.0869419537347534","0.0145007483059902","0.919097441544046","0.10492045;0.09122014;0.09143389;0.08136623;0.06576906"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Sn*Br","0.087385350830127","0.014506409038174","0.918282324856712","0.10324069;0.09403065;0.09320530;0.08068470;0.06576542"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl","0.0908152527792257","0.00841168812116787","0.913103018157171","0.10396290;0.09134801;0.09134439;0.08163131;0.08578966"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl","0.0900563204379945","0.00970773434074017","0.914323537399138","0.10247435;0.09428700;0.09311728;0.08099180;0.07941117"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Br*Cl","0.0870255744723281","0.0142869581277135","0.918995496601994","0.10344518;0.09504599;0.08971140;0.08079132;0.06613398"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl","0.0894678970327731","0.016905266450988","0.91378212909387","0.09919068;0.11009187;0.09167377;0.07984623;0.06653694"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl","0.091490130788919","0.00740360772787515","0.911960767122413","0.10149310;0.09393659;0.09030032;0.08094077;0.09077987"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.0917715257915678","0.0121000399519763","0.910610340273779","0.09739088;0.10849083;0.09281798;0.08003054;0.08012739"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Cs*Sn","0.0862696796061359","0.0124318129964378","0.920796983583753","0.10222345;0.08989135;0.08892097;0.08210317;0.06820946"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Sn","0.0868627832111635","0.0130805959725675","0.919574736882694","0.10130454;0.09200209;0.09244596;0.08140947;0.06715185"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Sn","0.0897042648450208","0.00843046798645316","0.915198553204471","0.10326662;0.09012657;0.08984452;0.08219524;0.08308837"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Sn","0.0895257254660792","0.00972255047029178","0.915319320200596","0.10233796;0.09276097;0.09282115;0.08152129;0.07818725"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Sn","0.0862725464957601","0.0124788839771644","0.920779211333009","0.10113480;0.09306229;0.08769614;0.08135424;0.06811527"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Sn","0.0887857672355711","0.015630573965948","0.91540902695436","0.09799040;0.10690248;0.09196968;0.08020011;0.06686618"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Sn","0.0905236087639573","0.00716383224848139","0.913828890772421","0.10098250;0.09277557;0.08934736;0.08137140;0.08814122"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Sn","0.0915751635373794","0.0119683639375062","0.911013120285102","0.09749888;0.10762225;0.09316022;0.08025317;0.07934130"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Cs*Br","0.0868623753651927","0.014723494830357","0.919187988720596","0.10530212;0.09081864;0.09115476;0.08179129;0.06524506"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Br","0.087491033312666","0.0147584424112039","0.918026317477544","0.10382666;0.09380728;0.09344174;0.08093680;0.06544268"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Br","0.0906584894295219","0.0084834833149459","0.913390233932262","0.10414705;0.09085750;0.09121432;0.08209616;0.08497742"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Br","0.0901104195425683","0.00991368616299499","0.914186584320651","0.10287200;0.09394706;0.09355204;0.08129561;0.07888538"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Br","0.0869741600980735","0.0144359713714235","0.919053529286679","0.10378873;0.09468054;0.08953052;0.08112790;0.06574312"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Br","0.0896905046591379","0.0170082622195172","0.913334205674708","0.09971400;0.11009757;0.09222979;0.07992315;0.06648801"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Br","0.0914150287897814","0.00732179850136216","0.912114350100266","0.10169529;0.09343884;0.09038757;0.08130353;0.09024992"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Br","0.0920191232800212","0.0120985689010741","0.910132983395676","0.09781091;0.10827472;0.09382353;0.08012924;0.08005722"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Cs*Sn + Cs*Br","0.0859414230232538","0.0125456097599525","0.921365960944502","0.10197572;0.08895568;0.08879556;0.08258529;0.06739486"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Sn + Cs*Br","0.0869522344176649","0.0134008146017948","0.919339752782839","0.10135427;0.09133795;0.09378679;0.08178019;0.06650198"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Sn + Cs*Br","0.0891803200351539","0.00854221838618102","0.916162108168613","0.10282064;0.08923151;0.08992355;0.08269905;0.08122685"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Sn + Cs*Br","0.0894813527402032","0.0100784121136889","0.915340875853084","0.10219439;0.09210934;0.09426280;0.08191516;0.07692506"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Sn + Cs*Br","0.0860057760476454","0.0125463558132137","0.921246874255592","0.10096716;0.09216150;0.08775416;0.08176456;0.06738150"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Sn + Cs*Br","0.0890869690522578","0.0158085254103136","0.914798922639056","0.09820834;0.10651495;0.09391919;0.08035866;0.06643371"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Sn + Cs*Br","0.0901454316089765","0.00703217367777812","0.914557907648276","0.10074110;0.09191190;0.08966513;0.08179644;0.08661258"
"M3","6","Sn + Br + Cl + Cs + Cl^2 + Cs*Cl","0.0858707932451481","0.0102586323818345","0.921937178886604","0.09857816;0.09055519;0.08787844;0.08093229;0.07140988"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Cl","0.0862132869525821","0.0110510709176932","0.921170445891361","0.09695832;0.09366719;0.09018110;0.08042435;0.06983547"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Cl","0.0904472110410459","0.00721174273396556","0.913960661259223","0.09929750;0.09049552;0.09512158;0.08085497;0.08646648"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Cl","0.0903133382310241","0.0100405726608008","0.913778539339981","0.09748235;0.09351955;0.10111727;0.08025972;0.07918780"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Cl","0.0858132270976099","0.0108022187262731","0.921940822952335","0.09730801;0.09452540;0.08619298;0.08035048;0.07068927"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Cl","0.0879076455787654","0.0154500679201006","0.917087199500939","0.09306500;0.10969775;0.08883104;0.07963643;0.06830801"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Cl","0.0905960993047981","0.00657725811182157","0.913764998298461","0.09774899;0.09460502;0.08947903;0.08037230;0.09077515"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Cl","0.0910274378064545","0.0125724769969593","0.911937830554105","0.09341090;0.11019720;0.09217979;0.07960957;0.07973972"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Cs*Sn + Cs*Cl","0.0864524675003883","0.00720294569034995","0.921356440110876","0.09681305;0.08953704;0.08588847;0.08193455;0.07808923"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Sn + Cs*Cl","0.0868718759274695","0.00823137577450988","0.920450364385379","0.09582162;0.09214750;0.08941521;0.08131849;0.07565656"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Sn + Cs*Cl","0.0889018810698854","0.00656748048099342","0.916936609636102","0.09734895;0.08916942;0.09306149;0.08178374;0.08314581"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Sn + Cs*Cl","0.0894989387312806","0.00990126874865865","0.915337461539815","0.09626897;0.09128330;0.10109030;0.08113451;0.07771761"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Sn + Cs*Cl","0.0862547235894505","0.0079866472729014","0.921608260376382","0.09579783;0.09296007;0.08460814;0.08116682;0.07674075"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Sn + Cs*Cl","0.0882968192340348","0.0134304564739092","0.916870040902388","0.09241789;0.10782696;0.08882092;0.08012078;0.07229755"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Sn + Cs*Cl","0.0892324483350446","0.0058107251234089","0.916408552347437","0.09621260;0.09321216;0.08849545;0.08114604;0.08709600"
"M3","7","Sn + Br + Cl + Cs + Cl^2 + Cs*Br + Cs*Cl","0.0856856898902605","0.0105224753908398","0.922223650462765","0.09898794;0.09007546;0.08737501;0.08128644;0.07070360"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Br + Cs*Cl","0.0862079370204848","0.0113179589300688","0.921129215870197","0.09763962;0.09330556;0.09014002;0.08061669;0.06933779"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Br + Cs*Cl","0.0901556924262461","0.00725361094625795","0.914506278509941","0.09979749;0.09003100;0.09419350;0.08122093;0.08553554"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Sn*Cl + Cs*Br + Cs*Cl","0.0901862617287777","0.0101101478230139","0.914006273417656","0.09825772;0.09318818;0.10044924;0.08045387;0.07858229"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Br + Cs*Cl","0.0856582290269345","0.0109801251447429","0.922186594053427","0.09771089;0.09404018;0.08578986;0.08062993;0.07012029"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Br*Cl + Cs*Br + Cs*Cl","0.0879989845482459","0.0154738680780122","0.916911872581671","0.09372538;0.10940668;0.08909338;0.07967524;0.06809424"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Br*Cl + Cs*Br + Cs*Cl","0.0902995501071299","0.00658336604433167","0.914325822002657","0.09821088;0.09410836;0.08846200;0.08066479;0.09005173"
"M3","8","Sn + Br + Cl + Cs + Cl^2 + Cs*Sn + Cs*Br + Cs*Cl","0.0860092432327571","0.00713258053450901","0.922167059276499","0.09652411;0.08861142;0.08502282;0.08235350;0.07753437"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Br + Cs*Sn + Cs*Br + Cs*Cl","0.0868165920836582","0.0082318528487374","0.920551158190159","0.09588836;0.09141604;0.08981120;0.08162686;0.07534050"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Sn*Cl + Cs*Sn + Cs*Br + Cs*Cl","0.0877553445660833","0.00645907890567745","0.91906944868416","0.09696906;0.08818301;0.09033388;0.08214103;0.08114974"
"M3","9","Sn + Br + Cl + Cs + Cl^2 + Br*Cl + Cs*Sn + Cs*Br + Cs*Cl","0.0858803286953555","0.00788272420502055","0.92229837972171","0.09565027;0.09202276;0.08394950;0.08152569;0.07625342"
"M3","6","Sn + Br + Cl + Cs + Sn^2 + Cl^2","0.0689936125787104","0.0139586352679321","0.948521293295542","0.09093339;0.06716345;0.07250979;0.05844926;0.05591218"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br","0.0670991462376747","0.0131545614483556","0.951402710517496","0.08724649;0.06769669;0.06989381;0.05461100;0.05604774"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Cl","0.0730651286185379","0.0123118920540998","0.942895685649985","0.08565571;0.06627957;0.06998533;0.05776398;0.08564106"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Sn*Cl","0.0690142699251028","0.0102675360454583","0.949276619212574","0.08272438;0.06757646;0.06774308;0.05430701;0.07272042"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Br*Cl","0.0689628952617642","0.0134970057883031","0.948673380559905","0.09019919;0.06787514;0.07187340;0.05847794;0.05638881"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Br*Cl","0.0688256929956375","0.013370687620657","0.948892684046433","0.08467283;0.07961546;0.06835688;0.05416910;0.05731418"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Cl + Br*Cl","0.0733329950767566","0.0131848772827154","0.942309818683022","0.08427694;0.06545979;0.06994565;0.05764702;0.08933558"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Sn*Cl + Br*Cl","0.070009342588685","0.0101319514708856","0.947847919466616","0.07926163;0.07611067;0.06770063;0.05355261;0.07342117"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Cs*Sn","0.0642948085035786","0.0108793255314461","0.955733087668632","0.08233454;0.06443507;0.06289333;0.05752790;0.05428321"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Cs*Sn","0.0629670367149346","0.0109756205340224","0.957477870056432","0.07985083;0.06256845;0.06580385;0.05428535;0.05232671"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Cl + Cs*Sn","0.0691366496254148","0.0102562132221442","0.949124272786012","0.08174330;0.06386533;0.06459723;0.05750321;0.07797418"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Sn","0.0661346097633657","0.00897482425551187","0.953557397082116","0.07920510;0.06292010;0.06644170;0.05437173;0.06773441"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Br*Cl + Cs*Sn","0.0642468302197884","0.0107563676073927","0.955820435730103","0.08212130;0.06432439;0.06285404;0.05742510;0.05450932"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Br*Cl + Cs*Sn","0.0639269435184267","0.01078790882202","0.956233063896928","0.07847680;0.06830978;0.06637152;0.05350124;0.05297537"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Cl + Br*Cl + Cs*Sn","0.0696358280647547","0.0109227846606189","0.948288109606248","0.08123615;0.06337213;0.06513363;0.05732724;0.08110999"
"M3","10","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Sn*Cl + Br*Cl + Cs*Sn","0.0671515034761695","0.00848951240317252","0.952207353244044","0.07683737;0.06845798;0.06793351;0.05342739;0.06910127"
"M3","7","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Cs*Br","0.069021414099573","0.0139990040934264","0.948472737228734","0.09123462;0.06682905;0.07219111;0.05925754;0.05559475"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Cs*Br","0.0671892555326348","0.0131495985236537","0.951277584423596","0.08747395;0.06759333;0.06984928;0.05509250;0.05593722"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Cl + Cs*Br","0.0729654830404425","0.0119874217700854","0.943114421265079","0.08583066;0.06583321;0.06953484;0.05869964;0.08492907"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Sn*Cl + Cs*Br","0.0690665002118684","0.0100676449505971","0.949235496734719","0.08286067;0.06731154;0.06782066;0.05494427;0.07239536"
"M3","8","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Br*Cl + Cs*Br","0.0689905149867739","0.0135483377385616","0.948622775496231","0.09051758;0.06754881;0.07158697;0.05919273;0.05610648"
"M3","9","Sn + Br + Cl + Cs + Sn^2 + Cl^2 + Sn*Br + Br*Cl + Cs*Br","0.0689441424910785","0.0133795180663344","0.948719894802311","0.08487629;0.07968495;0.06843959;0.05441064;0.05730925"
