term,frequency,percentage
Sn,10,100.0
Br,10,100.0
Cl,10,100.0
Cs,10,100.0
Sn^2,10,100.0
Br^2,9,90.0
Cl^2,1,10.0
Cs^2,0,0.0
Sn*Br,1,10.0
Sn*Cl,0,0.0
Br*Cl,0,0.0
Cs*Sn,9,90.0
Cs*Br,6,60.0
Cs*Cl,4,40.0
