id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass
0,0.83,0.0,0.17,1.0,0.0,0.2,0.0,0.8,1.61,0,train_0,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
1,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,2.49,1,train_1,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
2,0.72,0.15,0.13,1.0,0.0,0.167,0.0,0.833,1.63,2,train_2,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
3,0.75,0.15,0.1,0.75,0.25,0.167,0.0,0.833,1.36,3,train_3,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
4,0.8,0.0,0.2,0.25,0.75,0.0,0.0,1.0,1.2,4,train_4,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
5,0.37,0.6,0.03,1.0,0.0,0.008,0.0,0.992,1.6,5,train_5,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
6,0.0,1.0,0.0,0.75,0.25,0.6,0.0,0.4,1.73,6,train_6,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
7,0.66,0.34,0.0,1.0,0.0,0.14,0.0,0.86,1.62,7,train_7,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
8,0.78,0.16,0.06,1.0,0.0,0.17,0.0,0.83,1.63,8,train_8,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
9,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.975,1.613,9,train_9,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
10,0.73,0.2,0.07,1.0,0.0,0.157,0.0,0.843,1.6,10,train_10,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
11,0.83,0.0,0.17,0.8,0.2,0.0,0.0,1.0,1.35,11,train_11,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
12,0.75,0.0,0.25,1.0,0.0,0.17,0.0,0.83,1.63,12,train_12,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
13,0.8,0.0,0.2,1.0,0.0,0.2,0.0,0.8,1.48,13,train_13,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
14,0.85,0.0,0.15,1.0,0.0,0.04,0.0,0.96,1.6,14,train_14,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
15,0.8,0.15,0.05,1.0,0.0,0.15,0.0,0.85,1.606,15,train_15,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
16,0.82,0.18,0.0,1.0,0.0,0.177,0.0,0.82,1.64,16,train_16,train,1.0,1.0,0.9969999999999999,0.0,0.0,-0.0030000000000001137,True,True,False
17,0.45,0.5,0.05,0.5,0.5,0.0,0.0,1.0,1.26,17,train_17,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
18,0.57,0.38,0.05,1.0,0.0,0.0,0.0,1.0,1.54,18,train_18,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
19,0.0,0.0,1.0,1.0,0.0,0.8,0.2,0.0,2.33,19,train_19,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
20,0.8075,0.1425,0.05,1.0,0.0,0.15,0.0,0.85,1.616,20,train_20,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
21,0.7,0.0,0.3,1.0,0.0,0.256,0.0,0.744,1.72,21,train_21,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
22,0.6,0.2,0.2,1.0,0.0,0.256,0.0,0.744,1.7,22,train_22,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
23,0.0,0.0,1.0,0.6,0.4,0.0,0.0,1.0,1.38,23,train_23,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
24,0.17,0.83,0.0,1.0,0.0,1.0,0.0,0.0,2.296,24,train_24,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
25,0.6,0.2,0.2,1.0,0.0,0.095,0.0,0.905,1.64,25,train_25,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
26,0.8,0.0,0.2,1.0,0.0,0.256,0.0,0.744,1.71,26,train_26,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
27,0.79,0.16,0.05,1.0,0.0,0.5,0.0,0.5,1.85,27,train_27,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
28,0.0,1.0,0.0,1.0,0.0,0.6,0.0,0.4,1.92,28,train_28,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
29,0.0,0.98,0.02,1.0,0.0,0.02,0.0,0.98,1.6,29,train_29,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
30,0.33,0.67,0.0,1.0,0.0,0.667,0.0,0.333,1.974,30,train_30,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
31,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.9,1.65,31,train_31,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
32,0.0,1.0,0.0,1.0,0.0,0.59,0.0,0.41,1.96,32,train_32,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
33,0.6,0.4,0.0,0.4,0.6,0.0,0.0,1.0,1.25,33,train_33,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
34,0.78,0.14,0.08,1.0,0.0,0.14,0.0,0.86,1.61,34,train_34,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
35,0.2,0.6,0.2,1.0,0.0,0.0,0.0,1.0,1.634,35,train_35,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
36,0.9,0.0,0.1,1.0,0.0,0.033,0.0,0.967,1.55,36,train_36,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
37,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.8,1.57,37,train_37,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
38,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.254,38,train_38,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
39,0.0,1.0,0.0,0.4,0.6,0.3,0.0,0.7,1.25,39,train_39,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
40,0.0,0.89,0.11,1.0,0.0,0.0,0.0,1.0,1.62,40,train_40,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
41,0.3,0.7,0.0,1.0,0.0,0.7,0.0,0.3,2.03,41,train_41,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
42,0.79,0.16,0.05,0.75,0.25,0.167,0.0,0.833,1.34,42,train_42,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
43,0.6,0.4,0.0,1.0,0.0,0.256,0.0,0.744,1.72,43,train_43,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
44,0.0,0.77,0.23,1.0,0.0,0.0,0.0,1.0,1.644,44,train_44,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
45,0.0,1.0,0.0,1.0,0.0,0.025,0.0,0.992,1.6,45,train_45,train,1.0,1.0,1.017,0.0,0.0,0.016999999999999904,True,True,False
46,0.81,0.14,0.05,1.0,0.0,0.15,0.0,0.85,1.63,46,train_46,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
47,0.0,1.0,0.0,1.0,0.0,0.023,0.0,0.977,1.61,47,train_47,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
48,0.7,0.0,0.3,1.0,0.0,0.095,0.0,0.905,1.63,48,train_48,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
49,0.85,0.0,0.15,1.0,0.0,0.3,0.0,0.7,1.72,49,train_49,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
50,0.0,1.0,0.0,0.25,0.75,0.4,0.0,0.6,1.34,50,train_50,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
51,0.38,0.57,0.05,1.0,0.0,0.067,0.0,0.933,1.57,51,train_51,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
52,0.95,0.0,0.05,1.0,0.0,0.05,0.0,0.95,1.538,52,train_52,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
