id,FA,MA,Cs,Pb,Sn,Br,Cl,I,Eg,source_row_index,sample_id,original_split,A_sum,B_sum,X_sum,A_closure_error,B_closure_error,X_closure_error,numeric_complete,fractions_within_0_1,closure_pass,dataset_index
217,0.83,0.0,0.17,1.0,0.0,0.4,0.0,0.6,1.75,217,train_217,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,212
218,0.83,0.0,0.17,1.0,0.0,0.4,0.0,0.6,1.74,218,train_218,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,213
219,0.83,0.17,0.0,1.0,0.0,0.153,0.0,0.847,1.57,219,train_219,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,214
220,0.0,1.0,0.0,1.0,0.0,0.3,0.0,0.7,1.72,220,train_220,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,215
221,0.7,0.0,0.3,1.0,0.0,0.05,0.0,0.95,1.62,221,train_221,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,216
222,0.0,0.0,1.0,0.0,1.0,0.167,0.0,0.833,1.375,222,train_222,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,217
223,0.7,0.25,0.05,1.0,0.0,0.0,0.0,1.0,1.51,223,train_223,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,218
224,0.44,0.56,0.0,1.0,0.0,0.11,0.0,0.89,1.62,224,train_224,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,219
226,0.5,0.45,0.05,0.5,0.5,0.0,0.0,1.0,1.22,226,train_226,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,220
227,0.67,0.33,0.0,1.0,0.0,0.833,0.0,0.167,2.115,227,train_227,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,221
228,1.0,0.0,0.0,1.0,0.0,0.833,0.0,0.167,2.105,228,train_228,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,222
229,0.85,0.0,0.15,1.0,0.0,0.05,0.0,0.95,1.587,229,train_229,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,223
230,0.75,0.08,0.17,1.0,0.0,0.13,0.0,0.87,1.61,230,train_230,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,224
231,0.85,0.0,0.15,1.0,0.0,0.0,0.0,1.0,1.541,231,train_231,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,225
232,0.79,0.16,0.05,1.0,0.0,0.15,0.0,0.85,1.614,232,train_232,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,226
233,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.3,233,train_233,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,227
234,0.9,0.1,0.0,1.0,0.0,0.256,0.0,0.744,1.7,234,train_234,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,228
235,0.0,1.0,0.0,1.0,0.0,0.2,0.8,0.0,2.83,235,train_235,train,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,229
