term,frequency,percentage
Sn,10,100.0
Br,10,100.0
Cl,8,80.0
Cs,10,100.0
Sn^2,10,100.0
Br^2,8,80.0
Cl^2,0,0.0
Cs^2,4,40.0
Sn*Br,2,20.0
Sn*Cl,0,0.0
Br*Cl,0,0.0
Cs*Sn,10,100.0
Cs*Br,8,80.0
Cs*Cl,1,10.0
