complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.6512401,0.0,1.65124010000000,PySRFunction(X=>1.65124010000000)
3,0.057229094,Cl + 1.6259084,0.2566546221120323,Cl + 1.6259084,PySRFunction(X=>Cl + 1.6259084)
5,0.026921794,Cl + (Br + 1.4211917),0.3770631304898871,Br + Cl + 1.4211917,PySRFunction(X=>Br + Cl + 1.4211917)
7,0.02274705,(Br + 1.6526195) * (Cl + 0.85915035),0.08425033889931034,(Br + 1.6526195)*(Cl + 0.85915035),PySRFunction(X=>(Br + 1.6526195)*(Cl + 0.85915035))
9,0.016584601,(Cl + ((Br - Sn) * 0.49822512)) + 1.5940603,0.15798042621668731,Cl + (Br - Sn)*0.49822512 + 1.5940603,PySRFunction(X=>Cl + (Br - Sn)*0.49822512 + 1.5940603)
11,0.010814882,(Cl + (((Br - Sn) * 0.311201) + 0.9980253)) * 1.5827887,0.21377573282628362,(Cl + (Br - Sn)*0.311201 + 0.9980253)*1.5827887,PySRFunction(X=>(Cl + (Br - Sn)*0.311201 + 0.9980253)*1.5827887)
13,0.007563238,((Br * 0.42991188) + (Cl + 0.9464221)) * (1.6037793 - (Sn * 0.33012977)),0.17881187160044185,(1.6037793 - 0.33012977*Sn)*(Br*0.42991188 + Cl + 0.9464221),PySRFunction(X=>(1.6037793 - 0.33012977*Sn)*(Br*0.42991188 + Cl + 0.9464221))
15,0.004385704,((Cl + (Br * 0.42455804)) + 0.9813192) * (((Sn - 1.2005477) * Sn) + 1.571696),0.2724746225571623,(Sn*(Sn - 1*1.2005477) + 1.571696)*(Br*0.42455804 + Cl + 0.9813192),PySRFunction(X=>(Sn*(Sn - 1*1.2005477) + 1.571696)*(Br*0.42455804 + Cl + 0.9813192))
17,0.004111935,((1.5490772 - ((1.2674308 - Sn) * Sn)) * (((Br * 0.43608692) + 0.78592575) + Cl)) + 0.3202408,0.03222821981164265,(1.5490772 - Sn*(1.2674308 - Sn))*(Br*0.43608692 + Cl + 0.78592575) + 0.3202408,PySRFunction(X=>(1.5490772 - Sn*(1.2674308 - Sn))*(Br*0.43608692 + Cl + 0.78592575) + 0.3202408)
19,0.004077507,Sn + (((Cl + ((Sn + -2.3413181) * (Sn + ((Cl + Br) * -0.33188957)))) + 1.7553419) * 0.8752555),0.004203974192586939,Sn + (Cl + (Sn - 2.3413181)*(Sn + (Br + Cl)*(-0.33188957)) + 1.7553419)*0.8752555,PySRFunction(X=>Sn + (Cl + (Sn - 2.3413181)*(Sn + (Br + Cl)*(-0.33188957)) + 1.7553419)*0.8752555)
21,0.0039667427,(((Cl * 1.5159948) + 1.5643073) - Sn) + ((Br * (0.36027429 - (Br * -0.35890967))) - (Sn * (Sn * -0.75109863))),0.01377024645842992,Br*(0.36027429 - (-0.35890967)*Br) + Cl*1.5159948 - Sn - (-0.75109863)*Sn*Sn + 1.5643073,PySRFunction(X=>Br*(0.36027429 - (-0.35890967)*Br) + Cl*1.5159948 - Sn - (-0.75109863)*Sn*Sn + 1.5643073)
23,0.003809406,(((Br * (((Br - Sn) * 0.27262104) - -0.45588413)) + ((1.5149434 * Cl) + 1.5540327)) - ((Sn * Sn) * -0.80140364)) - Sn,0.02023600393031248,Br*((Br - Sn)*0.27262104 - 1*(-0.45588413)) + 1.5149434*Cl - Sn - (-0.80140364)*Sn*Sn + 1.5540327,PySRFunction(X=>Br*((Br - Sn)*0.27262104 - 1*(-0.45588413)) + 1.5149434*Cl - Sn - (-0.80140364)*Sn*Sn + 1.5540327)
