complexity,loss,equation,score,sympy_format,lambda_format
25,0.0034478246,(square((Br * (Cs * Cl)) - Sn) + (((Br + square(Br)) / 2.7824721) - (Sn * 1.2048061))) + ((Cl / 0.6505258) + 1.568094),0.012073809950311641,Cl/0.6505258 - 1.2048061*Sn + (Br**2 + Br)/2.7824721 + (Br*Cl*Cs - Sn)**2 + 1.568094,PySRFunction(X=>Cl/0.6505258 - 1.2048061*Sn + (Br**2 + Br)/2.7824721 + (Br*Cl*Cs - Sn)**2 + 1.568094)
26,0.0033960475,((Br + square(Br)) / 2.7850246) + ((((Cl / 0.6636338) - (Sn * 1.2019674)) + 1.5677458) + square(((Br + Br) * square(Cl)) - Sn)),0.015131226043051497,Cl/0.6636338 - 1.2019674*Sn + (Br**2 + Br)/2.7850246 + (Cl**2*(Br + Br) - Sn)**2 + 1.5677458,PySRFunction(X=>Cl/0.6636338 - 1.2019674*Sn + (Br**2 + Br)/2.7850246 + (Cl**2*(Br + Br) - Sn)**2 + 1.5677458)
27,0.0033384815,(((1.5665977 - (Sn * 1.1949344)) + (Cl / 0.6495033)) + ((((Br - (Cs * square(Sn + Cl))) / 2.765722) + 0.3653214) * Br)) + square(Sn),0.01709619250524413,Br*((Br - Cs*(Cl + Sn)**2)/2.765722 + 0.3653214) + Cl/0.6495033 + Sn**2 - 1.1949344*Sn + 1.5665977,PySRFunction(X=>Br*((Br - Cs*(Cl + Sn)**2)/2.765722 + 0.3653214) + Cl/0.6495033 + Sn**2 - 1.1949344*Sn + 1.5665977)
28,0.003242569,((Cl / 0.60884154) + ((((Br - ((Sn + (Cl + -0.3631586)) * Cs)) * ((Br + 0.665467) / 2.4408178)) + (Sn * -1.1461792)) + square(Sn))) + 1.5640388,0.02915014603093264,Cl/0.60884154 + Sn**2 + Sn*(-1.1461792) + (Br + 0.665467)*(Br - Cs*(Cl + Sn - 0.3631586))/2.4408178 + 1.5640388,PySRFunction(X=>Cl/0.60884154 + Sn**2 + Sn*(-1.1461792) + (Br + 0.665467)*(Br - Cs*(Cl + Sn - 0.3631586))/2.4408178 + 1.5640388)
29,0.0030021272,((square(Br / -1.5126631) + (Cl / 0.6199502)) + 1.5612161) + (((Br - (((Cl + -0.45844138) + Sn) * Cs)) * 0.28206816) + (square(Sn) + (Sn * -1.1644017))),0.07704481279290887,0.43703435140593*Br**2 + Cl/0.6199502 + Sn**2 + Sn*(-1.1644017) + (Br - Cs*(Cl + Sn - 0.45844138))*0.28206816 + 1.5612161,PySRFunction(X=>0.43703435140593*Br**2 + Cl/0.6199502 + Sn**2 + Sn*(-1.1644017) + (Br - Cs*(Cl + Sn - 0.45844138))*0.28206816 + 1.5612161)
30,0.0028740403,((Br - (((Sn * 0.5226834) + (Cl + -0.25026613)) * Cs)) * ((Br / 2.632657) + 0.32316777)) + ((((Sn * -1.171217) + square(Sn)) + 1.5608402) + (Cl / 0.6118344)),0.04360229423864079,Cl/0.6118344 + Sn**2 + Sn*(-1.171217) + (Br - Cs*(Cl + Sn*0.5226834 - 0.25026613))*(Br/2.632657 + 0.32316777) + 1.5608402,PySRFunction(X=>Cl/0.6118344 + Sn**2 + Sn*(-1.171217) + (Br - Cs*(Cl + Sn*0.5226834 - 0.25026613))*(Br/2.632657 + 0.32316777) + 1.5608402)
31,0.0028569512,(((Sn * -1.1756779) + square(Sn)) + (((Br - (Cs * ((Cl + -0.24508263) + (square(Sn) * 0.5106793)))) * ((Br / 2.6321592) + 0.3267468)) + 1.5599378)) + (Cl / 0.6108229),0.005963767578423465,Cl/0.6108229 + Sn**2 + Sn*(-1.1756779) + (Br - Cs*(Cl + Sn**2*0.5106793 - 0.24508263))*(Br/2.6321592 + 0.3267468) + 1.5599378,PySRFunction(X=>Cl/0.6108229 + Sn**2 + Sn*(-1.1756779) + (Br - Cs*(Cl + Sn**2*0.5106793 - 0.24508263))*(Br/2.6321592 + 0.3267468) + 1.5599378)
32,0.0028408254,((Sn * -1.1742519) + (((Cl / 0.610129) + square(Sn)) + 1.5609249)) + (((Br / 2.63399) + 0.32332438) * (Br - (((square(square(Sn)) * 0.5490426) + (Cl + -0.24422914)) * Cs))),0.0056603984986046876,Cl/0.610129 + Sn**2 + Sn*(-1.1742519) + (Br - Cs*(Cl + Sn**4*0.5490426 - 0.24422914))*(Br/2.63399 + 0.32332438) + 1.5609249,PySRFunction(X=>Cl/0.610129 + Sn**2 + Sn*(-1.1742519) + (Br - Cs*(Cl + Sn**4*0.5490426 - 0.24422914))*(Br/2.63399 + 0.32332438) + 1.5609249)
34,0.0027665899,(((Cl / 0.62800515) + 1.5542574) + ((((Br / 2.798269) + 0.35814607) * Br) - ((Cs / 3.7429726) * (((Br + 0.76492155) * (Cl + Sn)) + -0.47170377)))) + (square(Sn) + (Sn * -1.1672964)),0.013239582494286627,Br*(Br/2.798269 + 0.35814607) + Cl/0.62800515 - Cs*((Br + 0.76492155)*(Cl + Sn) - 0.47170377)/3.7429726 + Sn**2 + Sn*(-1.1672964) + 1.5542574,PySRFunction(X=>Br*(Br/2.798269 + 0.35814607) + Cl/0.62800515 - Cs*((Br + 0.76492155)*(Cl + Sn) - 0.47170377)/3.7429726 + Sn**2 + Sn*(-1.1672964) + 1.5542574)
35,0.0027549004,(square(Sn) + ((((Cl / 0.62682927) + (Br * (0.36062312 + (Br / 2.8124468)))) + 1.5539588) - ((Cs / 3.793826) * (((Br + 0.78684175) * (square(Sn) + Cl)) + -0.46302775)))) + (Sn * -1.1687355),0.004234189260264509,Br*(Br/2.8124468 + 0.36062312) + Cl/0.62682927 - Cs*((Br + 0.78684175)*(Cl + Sn**2) - 0.46302775)/3.793826 + Sn**2 + Sn*(-1.1687355) + 1.5539588,PySRFunction(X=>Br*(Br/2.8124468 + 0.36062312) + Cl/0.62682927 - Cs*((Br + 0.78684175)*(Cl + Sn**2) - 0.46302775)/3.793826 + Sn**2 + Sn*(-1.1687355) + 1.5539588)
