complexity,loss,equation,score,sympy_format,lambda_format
1,0.09561901,1.651186,0.0,1.65118600000000,PySRFunction(X=>1.65118600000000)
3,0.057229094,Cl - -1.6259084,0.2566546221120323,Cl - 1*(-1.6259084),PySRFunction(X=>Cl - 1*(-1.6259084))
5,0.026921798,(Br + 1.4211897) + Cl,0.3770630562006383,Br + Cl + 1.4211897,PySRFunction(X=>Br + Cl + 1.4211897)
6,0.025236772,square(Cl + Br) + 1.5143365,0.06463415577692844,(Br + Cl)**2 + 1.5143365,PySRFunction(X=>(Br + Cl)**2 + 1.5143365)
7,0.02274705,(Cl + 0.85913616) * (Br + 1.6526281),0.10386667060018981,(Br + 1.6526281)*(Cl + 0.85913616),PySRFunction(X=>(Br + 1.6526281)*(Cl + 0.85913616))
8,0.019284802,(Br + 1.7572161) * (square(Cl) + 0.823478),0.16511814209880815,(Br + 1.7572161)*(Cl**2 + 0.823478),PySRFunction(X=>(Br + 1.7572161)*(Cl**2 + 0.823478))
9,0.016584601,((Br - Sn) / 2.0071597) + (Cl + 1.5940756),0.15084271033456645,Cl + (Br - Sn)/2.0071597 + 1.5940756,PySRFunction(X=>Cl + (Br - Sn)/2.0071597 + 1.5940756)
10,0.015049633,square(Cl + Br) + (1.5632932 - (Sn / 2.876118)),0.09712100871049381,-Sn/2.876118 + (Br + Cl)**2 + 1.5632932,PySRFunction(X=>-Sn/2.876118 + (Br + Cl)**2 + 1.5632932)
11,0.010814883,((Br - Sn) / 2.0302315) + ((Cl * 1.5827624) + 1.5796694),0.3304303644768985,Cl*1.5827624 + (Br - Sn)/2.0302315 + 1.5796694,PySRFunction(X=>Cl*1.5827624 + (Br - Sn)/2.0302315 + 1.5796694)
12,0.008669888,((square((Sn - Cl) + -0.6687041) + Br) / 1.4228014) + 1.222109,0.22106736843800695,(Br + (-Cl + Sn - 0.6687041)**2)/1.4228014 + 1.222109,PySRFunction(X=>(Br + (-Cl + Sn - 0.6687041)**2)/1.4228014 + 1.222109)
13,0.00625498,((Cl * 1.5451316) + 0.79310596) + ((Br - -1.0353354) / (Sn + 1.418712)),0.3264779261288749,Cl*1.5451316 + (Br - 1*(-1.0353354))/(Sn + 1.418712) + 0.79310596,PySRFunction(X=>Cl*1.5451316 + (Br - 1*(-1.0353354))/(Sn + 1.418712) + 0.79310596)
14,0.0047289277,(Cl * 1.5120696) + (((square(Sn + -0.695738) + Br) / 1.4994018) + 1.2148288),0.2796794715713839,Cl*1.5120696 + (Br + (Sn - 0.695738)**2)/1.4994018 + 1.2148288,PySRFunction(X=>Cl*1.5120696 + (Br + (Sn - 0.695738)**2)/1.4994018 + 1.2148288)
15,0.0046440847,((Cl * 1.5059366) + ((Sn + (Br * -0.61126375)) * (Sn - 1.12679))) + 1.5390195,0.018104172643583636,Cl*1.5059366 + (Sn - 1*1.12679)*(Br*(-0.61126375) + Sn) + 1.5390195,PySRFunction(X=>Cl*1.5059366 + (Sn - 1*1.12679)*(Br*(-0.61126375) + Sn) + 1.5390195)
16,0.0043954817,(((Br / (Sn + 1.4716139)) + square(Sn + -0.58452046)) + 1.1993155) + (Cl * 1.4965274),0.05501717530519871,Br/(Sn + 1.4716139) + Cl*1.4965274 + (Sn - 0.58452046)**2 + 1.1993155,PySRFunction(X=>Br/(Sn + 1.4716139) + Cl*1.4965274 + (Sn - 0.58452046)**2 + 1.1993155)
17,0.004373097,((Br / (square(Sn) + 1.4847655)) + 1.1965728) + ((Cl * 1.4998876) + square(-0.58711666 + Sn)),0.005105673198056621,Br/(Sn**2 + 1.4847655) + Cl*1.4998876 + (Sn - 0.58711666)**2 + 1.1965728,PySRFunction(X=>Br/(Sn**2 + 1.4847655) + Cl*1.4998876 + (Sn - 0.58711666)**2 + 1.1965728)
18,0.0042470144,((Br / (Sn + 1.196405)) + ((square(Sn + -0.6139437) + (Cl * 1.833997)) + 1.4927542)) * 0.8216595,0.029255211799428478,(Br/(Sn + 1.196405) + Cl*1.833997 + (Sn - 0.6139437)**2 + 1.4927542)*0.8216595,PySRFunction(X=>(Br/(Sn + 1.196405) + Cl*1.833997 + (Sn - 0.6139437)**2 + 1.4927542)*0.8216595)
19,0.0040005553,(square(Sn) + ((Cl * 1.5023605) - ((square(Br + 0.42323333) * -0.3883582) + (Sn * 1.2214499)))) + 1.5037365,0.059783065469472874,Cl*1.5023605 + Sn**2 - (Sn*1.2214499 + (Br + 0.42323333)**2*(-0.3883582)) + 1.5037365,PySRFunction(X=>Cl*1.5023605 + Sn**2 - (Sn*1.2214499 + (Br + 0.42323333)**2*(-0.3883582)) + 1.5037365)
20,0.003979546,(square(Sn) + ((Cl * 1.5027521) + 1.5500947)) - (((Br * 0.3613745) + 1.1588304) * ((Br * -0.47099385) + Sn)),0.005265434046521961,Cl*1.5027521 + Sn**2 - (Br*(-0.47099385) + Sn)*(Br*0.3613745 + 1.1588304) + 1.5500947,PySRFunction(X=>Cl*1.5027521 + Sn**2 - (Br*(-0.47099385) + Sn)*(Br*0.3613745 + 1.1588304) + 1.5500947)
21,0.0038710036,square(Sn) + ((((square(Br) * 0.22917452) + 1.2053596) * (1.3021065 - (Sn + (Br * -0.304248)))) + (Cl * 1.5058507)),0.02765394085074148,Cl*1.5058507 + Sn**2 + (1.3021065 - (Br*(-0.304248) + Sn))*(Br**2*0.22917452 + 1.2053596),PySRFunction(X=>Cl*1.5058507 + Sn**2 + (1.3021065 - (Br*(-0.304248) + Sn))*(Br**2*0.22917452 + 1.2053596))
22,0.0038133557,((Cl * 1.4898815) - ((((Cl + 0.30520043) * Br) + 1.1575234) * (Sn + (Br * -0.47682676)))) + (1.5494896 + square(Sn)),0.015004238936372443,Cl*1.4898815 + Sn**2 - (Br*(-0.47682676) + Sn)*(Br*(Cl + 0.30520043) + 1.1575234) + 1.5494896,PySRFunction(X=>Cl*1.4898815 + Sn**2 - (Br*(-0.47682676) + Sn)*(Br*(Cl + 0.30520043) + 1.1575234) + 1.5494896)
23,0.0036722342,((Cl * 1.2644039) + ((((Cl + square(Br)) * 0.2068597) + 1.1986114) * (1.3073505 - (Sn + (Br * -0.32250905))))) + square(Sn),0.03770931197014006,Cl*1.2644039 + Sn**2 + (1.3073505 - (Br*(-0.32250905) + Sn))*((Br**2 + Cl)*0.2068597 + 1.1986114),PySRFunction(X=>Cl*1.2644039 + Sn**2 + (1.3073505 - (Br*(-0.32250905) + Sn))*((Br**2 + Cl)*0.2068597 + 1.1986114))
25,0.0035853842,(Cl * 1.526217) + (((square(Sn) + 1.5698583) - (square(Br) * -0.37289643)) - ((Br * -0.34751683) + (((Cl * Br) + 1.2096044) * Sn))),0.011967306806338332,-(-0.37289643)*Br**2 + Cl*1.526217 + Sn**2 - (Br*(-0.34751683) + Sn*(Br*Cl + 1.2096044)) + 1.5698583,PySRFunction(X=>-(-0.37289643)*Br**2 + Cl*1.526217 + Sn**2 - (Br*(-0.34751683) + Sn*(Br*Cl + 1.2096044)) + 1.5698583)
27,0.003341064,(((1.554405 - (Br * -0.39765275)) + square(Sn)) - ((((Cs * (0.3652904 - Sn)) + square(Br)) * -0.3003988) + (Sn * 1.1652472))) + (Cl * 1.5246798),0.03528815896782889,-(-0.39765275)*Br + Cl*1.5246798 + Sn**2 - (Sn*1.1652472 + (Br**2 + Cs*(0.3652904 - Sn))*(-0.3003988)) + 1.554405,PySRFunction(X=>-(-0.39765275)*Br + Cl*1.5246798 + Sn**2 - (Sn*1.1652472 + (Br**2 + Cs*(0.3652904 - Sn))*(-0.3003988)) + 1.554405)
28,0.0032597648,((square(Sn) + 1.554604) - (Br * -0.3924104)) + ((Cl * 1.5299377) - (((square(Br) + (Cs * (0.33699432 - square(Sn)))) * -0.30981907) + (Sn * 1.1671618))),0.024634273595866507,-(-0.3924104)*Br + Cl*1.5299377 + Sn**2 - (Sn*1.1671618 + (Br**2 + Cs*(0.33699432 - Sn**2))*(-0.30981907)) + 1.554604,PySRFunction(X=>-(-0.3924104)*Br + Cl*1.5299377 + Sn**2 - (Sn*1.1671618 + (Br**2 + Cs*(0.33699432 - Sn**2))*(-0.30981907)) + 1.554604)
29,0.0032055906,((1.5545424 - (Br * -0.3914015)) + (square(Sn) + (Cl * 1.5325902))) - (((((0.3210429 - square(square(Sn))) * Cs) + square(Br)) * -0.3129729) + (Sn * 1.1691389)),0.016758697569472212,-(-0.3914015)*Br + Cl*1.5325902 + Sn**2 - (Sn*1.1691389 + (Br**2 + Cs*(0.3210429 - Sn**4))*(-0.3129729)) + 1.5545424,PySRFunction(X=>-(-0.3914015)*Br + Cl*1.5325902 + Sn**2 - (Sn*1.1691389 + (Br**2 + Cs*(0.3210429 - Sn**4))*(-0.3129729)) + 1.5545424)
30,0.0032018533,(square(Sn) + (((Cl * 1.5336541) + 1.5545923) - (Br * -0.39384547))) - ((Sn * 1.1720523) + (((Cs * (0.3096513 - square(square(square(Sn))))) + square(Br)) * -0.31137004)),0.0011665495577173148,-(-0.39384547)*Br + Cl*1.5336541 + Sn**2 - (Sn*1.1720523 + (Br**2 + Cs*(0.3096513 - Sn**8))*(-0.31137004)) + 1.5545923,PySRFunction(X=>-(-0.39384547)*Br + Cl*1.5336541 + Sn**2 - (Sn*1.1720523 + (Br**2 + Cs*(0.3096513 - Sn**8))*(-0.31137004)) + 1.5545923)
31,0.0029739074,(((Cl * 1.6010089) + square(Sn)) - (square(Br) * -0.3723963)) + (1.557377 - ((Sn * 1.1680565) + ((Br * -0.33667123) + ((Cl + (Sn - 0.46790972)) * (Cs * 0.26274535))))),0.07385308737268974,-(-0.3723963)*Br**2 + Cl*1.6010089 + Sn**2 - (Br*(-0.33667123) + (Cl + Sn - 1*0.46790972)*Cs*0.26274535 + Sn*1.1680565) + 1.557377,PySRFunction(X=>-(-0.3723963)*Br**2 + Cl*1.6010089 + Sn**2 - (Br*(-0.33667123) + (Cl + Sn - 1*0.46790972)*Cs*0.26274535 + Sn*1.1680565) + 1.557377)
32,0.002926481,((square(Sn) - (square(Br) * -0.36801893)) + ((Cl * 1.6051918) + 1.5566471)) - ((Br * -0.34182447) + ((Sn * 1.1694448) + ((Cs * (square(Sn) + (Cl - 0.44649002))) * 0.26809582))),0.016076033705734433,-(-0.36801893)*Br**2 + Cl*1.6051918 + Sn**2 - (Br*(-0.34182447) + Cs*(Cl + Sn**2 - 1*0.44649002)*0.26809582 + Sn*1.1694448) + 1.5566471,PySRFunction(X=>-(-0.36801893)*Br**2 + Cl*1.6051918 + Sn**2 - (Br*(-0.34182447) + Cs*(Cl + Sn**2 - 1*0.44649002)*0.26809582 + Sn*1.1694448) + 1.5566471)
33,0.0028992482,(Cl * 1.6077615) + (((square(Sn) + 1.5562667) - (square(Br) * -0.3638309)) - (((Br * -0.34688374) + (Sn * 1.1719027)) + (((square(square(Sn)) - 0.42869392) + Cl) * (Cs * 0.26931584)))),0.00934921532673847,-(-0.3638309)*Br**2 + Cl*1.6077615 + Sn**2 - (Br*(-0.34688374) + (Cl + Sn**4 - 1*0.42869392)*Cs*0.26931584 + Sn*1.1719027) + 1.5562667,PySRFunction(X=>-(-0.3638309)*Br**2 + Cl*1.6077615 + Sn**2 - (Br*(-0.34688374) + (Cl + Sn**4 - 1*0.42869392)*Cs*0.26931584 + Sn*1.1719027) + 1.5562667)
34,0.0028496303,(1.5556427 - (((Br * -0.34317002) + (Sn * 1.166236)) + ((((Sn + 0.5331805) - square(1.0154752 - Cl)) * 0.26512042) * Cs))) + (((Cl * 1.6149441) - (square(Br) * -0.36683387)) + square(Sn)),0.017262195436225394,-(-0.36683387)*Br**2 + Cl*1.6149441 + Sn**2 - (Br*(-0.34317002) + (Sn - (1.0154752 - Cl)**2 + 0.5331805)*0.26512042*Cs + Sn*1.166236) + 1.5556427,PySRFunction(X=>-(-0.36683387)*Br**2 + Cl*1.6149441 + Sn**2 - (Br*(-0.34317002) + (Sn - (1.0154752 - Cl)**2 + 0.5331805)*0.26512042*Cs + Sn*1.166236) + 1.5556427)
