model,n,best_test_rmse,median_test_rmse,iqr_test_rmse,best_test_r2,median_test_r2,best_train_rmse,median_train_rmse
External Model A,16,0.05348559255852408,0.059172532402374675,0.0047529068460806165,0.9817371482132311,0.9776469819371598,0.05247972022124662,0.05576256748620216
External Model B,12,0.05348559255852408,0.060095940855057275,0.005753581237738392,0.9817371482132311,0.9769374464473076,0.05247972022124662,0.05609987372955091
