variable,n,min,mean,median,max,std
Sn,518,0.0,0.1407915057915058,0.0,1.0,0.29055757604200777
Br,518,0.0,0.2047200772200772,0.15,1.0,0.24982073422348888
Cl,518,0.0,0.025316602316602318,0.0,1.0,0.13052917203768466
Cs,518,0.0,0.1184988416988417,0.02,1.0,0.237960251785861
