model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cl^2,shap_term__Sn*Br,shap_term__Sn*Cl,shap_term__Cs*Br,shap_term__Cs*Cl,shap_reconstruction_error
m4_full_s3,0,0.0,0.2,0.0,0.17,1.61,1.6591280331305551,1.6512277992277937,0.1515777687699602,-0.0019117523434169605,-0.0396239645662496,0.004774510586165595,-0.09117311925898199,-0.0212088607229246,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,-0.00033324294387813134,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,1,0.0,0.5,0.5,1.0,2.49,2.5271672200628177,1.6512277992277937,0.1515777687699602,0.11959594261241009,0.7429448033656282,0.08172120299537915,-0.09117311925898199,0.04816567326892222,0.013110747899253726,0.003859944053412938,0.00042770367681941815,-0.034474490015271794,-0.1598167565325087,4.440892098500626e-16
m4_full_s3,2,0.0,0.167,0.0,0.13,1.63,1.6389534043138023,1.6512277992277937,0.1515777687699602,-0.01527759878855794,-0.0396239645662496,0.0010662362531914471,-0.09117311925898199,-0.025209789204711543,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0005671774992708559,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,3,0.25,0.167,0.0,0.1,1.36,1.4141681196851479,1.6512277992277937,-0.1175751320350562,-0.01527759878855794,-0.0396239645662496,-0.0017149694965391633,-0.036425260018200636,-0.025209789204711543,-0.0009956828623808517,-0.004106148299532692,0.00042770367681941815,0.0009342325375276848,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,4,0.75,0.0,0.0,0.2,1.2,1.2554529349864847,1.6512277992277937,-0.655880933645089,-0.08291688231396835,-0.0396239645662496,0.0075557163358962055,0.40155761390805017,-0.03442305767375257,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,5,0.0,0.008,0.0,0.03,1.6,1.5576645027584184,1.6512277992277937,0.1515777687699602,-0.07967667711514628,-0.0396239645662496,-0.008204449579243923,-0.09117311925898199,-0.03440191495863125,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.00214016585683056,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,6,0.25,0.6,0.0,0.0,1.73,1.6705569623860743,1.6512277992277937,-0.1175751320350562,0.1600985075976858,-0.0396239645662496,-0.010985655328974532,-0.036425260018200636,0.08450471488369911,-0.0009956828623808517,-0.02476074703501447,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,7,0.0,0.14,0.0,0.0,1.62,1.6148180800549228,1.6512277992277937,0.1515777687699602,-0.026213291334582375,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.027948101167846864,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,8,0.0,0.17,0.0,0.06,1.63,1.6348562641583557,1.6512277992277937,0.1515777687699602,-0.014062521838999668,-0.0396239645662496,-0.005423243829513312,-0.09117311925898199,-0.02487580037677936,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0014104516490385406,0.0025069295142354305,4.440892098500626e-16
m4_full_s3,9,0.0,0.025,0.0,0.0,1.613,1.5619716456433066,1.6512277992277937,0.1515777687699602,-0.07279124106764942,-0.0396239645662496,-0.010985655328974532,-0.09117311925898199,-0.034216585846395885,-0.0009956828623808517,0.003859944053412938,0.00042770367681941815,0.0021577493317171143,0.0025069295142354305,4.440892098500626e-16
