model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cl^2,shap_term__Sn*Br,shap_term__Sn*Cl,shap_term__Cs*Sn,shap_reconstruction_error
raw_structure_s7,0,0.0,0.2,0.0,0.17,1.61,1.6601765111299394,1.6512277992277997,0.15375879898742173,-0.0018613134770247319,-0.03870813031303247,0.0048745107933647665,-0.09664328346012875,-0.020879669179858104,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,1,0.0,0.5,0.5,1.0,2.49,2.6963647338847956,1.6512277992277997,0.15375879898742173,0.11644057377436373,0.7257730158723732,0.08343282077999202,-0.09664328346012875,0.04741807383331958,0.006086874608993468,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,2,0.0,0.167,0.0,0.13,1.63,1.6394385324745544,1.6512277992277997,0.15375879898742173,-0.014874521074677466,-0.03870813031303247,0.0010885681434068257,-0.09664328346012875,-0.024818497587632368,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,3,0.25,0.167,0.0,0.1,1.36,1.4103519271181706,1.6512277992277997,-0.11926690331438979,-0.014874521074677466,-0.03870813031303247,-0.0017508888440616293,-0.03861068654510313,-0.024818497587632368,-0.00046226170926381077,-0.0031940063577516045,0.0008070555031906389,2.9681330924994498e-06,4.440892098500626e-16
raw_structure_s7,4,0.75,0.0,0.0,0.2,1.2,1.2440099592731433,1.6512277992277997,-0.6653183079180128,-0.08072923831128372,-0.03870813031303247,0.007713967780833221,0.42565008877510185,-0.03388876308713005,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,-0.025284744727348967,4.440892098500626e-16
raw_structure_s7,5,0.0,0.008,0.0,0.03,1.6,1.5582242246571778,1.6512277992277997,0.15375879898742173,-0.07757452131791336,-0.03870813031303247,-0.008376288481488026,-0.09664328346012875,-0.03386794853687841,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,6,0.25,0.6,0.0,0.0,1.73,1.6686388746828265,1.6512277992277997,-0.11926690331438979,0.15587453619149322,-0.03870813031303247,-0.01121574546895648,-0.03861068654510313,0.08319308207831741,-0.00046226170926381077,-0.019260381672409628,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,7,0.0,0.14,0.0,0.0,1.62,1.6137912395246319,1.6512277992277997,0.15375879898742173,-0.025521690927302425,-0.03870813031303247,-0.01121574546895648,-0.09664328346012875,-0.02751430707256679,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,8,0.0,0.17,0.0,0.06,1.63,1.6343249565581484,1.6512277992277997,0.15375879898742173,-0.013691502202163579,-0.03870813031303247,-0.00553683149401957,-0.09664328346012875,-0.024489692739126066,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,9,0.0,0.025,0.0,0.0,1.613,1.5622709938226709,1.6512277992277997,0.15375879898742173,-0.07087074770700134,-0.03870813031303247,-0.01121574546895648,-0.09664328346012875,-0.03368549599482892,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,10,0.0,0.157,0.0,0.07,1.6,1.6287624856514158,1.6512277992277997,0.15375879898742173,-0.018817917316390417,-0.03870813031303247,-0.004590345831530084,-0.09664328346012875,-0.025872234194121393,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,0.005060510705180792,4.440892098500626e-16
raw_structure_s7,11,0.2,0.0,0.0,0.17,1.35,1.3801415346745358,1.6512277992277997,-0.0646617628540275,-0.08072923831128372,-0.03870813031303247,0.0048745107933647665,-0.05950242143451234,-0.03388876308713005,-0.00046226170926381077,0.003002494052289712,0.0008070555031906389,-0.001817747192859286,4.440892098500626e-16
