model_id,variable,grid_value,held_Sn,held_Br,held_Cl,held_Cs,pdp_prediction_at_means,sensitivity_derivative,method_note
raw_structure_s7,Sn,0.0,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6965095193477147,-1.151197278455711,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.01,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6850903987182217,-1.1326268474429027,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.02,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6738569823988567,-1.1140564164300946,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.03,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6628092703896198,-1.0954859854172863,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.04,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6519472626905107,-1.0769155544044782,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.05,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6412709593015302,-1.0583451233916699,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.06,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6307803602226778,-1.0397746923788618,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.07,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6204754654539528,-1.0212042613660537,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.08,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6103562749953566,-1.0026338303532454,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.09,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6004227888468883,-0.9840633993404373,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.1,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5906750070085476,-0.9654929683276291,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.11,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5811129294803352,-0.9469225373148209,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.12,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5717365562622514,-0.9283521063020127,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.13,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5625458873542954,-0.9097816752892045,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.14,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5535409227564674,-0.8912112442763963,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
raw_structure_s7,Sn,0.15,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5447216624687672,-0.8726408132635881,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
