model_id,term,coefficient,std_error,ci_95_low,ci_95_high,p_value,vif,condition_number,train_rmse,train_r2
m4_full_s3,Intercept,1.551639532569631,0.004958375464410577,1.5418979942115931,1.561381070927669,0.0,,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Sn,-1.0766116032200657,0.0341366350202814,-1.1436785976119357,-1.0095446088281956,1.5446665830057506e-121,15.500209424544819,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Br,0.4050256498527569,0.03367185654853668,0.3388717886721553,0.47117951103335853,1.7379322386363983e-29,11.14866399687811,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Cl,1.5651375358637556,0.07828175009208074,1.4113402535220096,1.7189348182055015,5.671000219103271e-66,16.45007793901857,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Cs,0.09270685832435369,0.015906081087547732,0.06145676438681715,0.12395695226189021,9.974826638292936e-09,2.2571840076813983,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Sn^2,0.8759657478525016,0.038422071551040944,0.80047931353621,0.9514521821687931,1.1237836684714439e-79,15.577116209831486,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Br^2,0.33035492377069914,0.03687040405809353,0.2579169936489693,0.40279285389242897,6.2476855160550016e-18,10.108684385768123,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Cl^2,0.05642572304653831,0.09217075200804092,-0.12465877178855816,0.2375102178816348,0.5406891246334791,16.539725312493484,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Sn*Br,-0.19080460725618273,0.04456669294287476,-0.2783631537821705,-0.10324606073019492,2.223201223704231e-05,1.9318707227126686,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Sn*Cl,-0.0991721148578597,0.06818821132792593,-0.2331389919095849,0.034794762193865486,0.14645877236279886,2.2395780512769683,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Cs*Br,-0.07326447869397781,0.033197221966752684,-0.1384858427255259,-0.00804311466242974,0.02776604786848252,2.3656430332884875,50.21610771057801,0.056616077838333854,0.9664775889650129
m4_full_s3,Cs*Cl,-0.32464737209348826,0.056341202166697094,-0.43533886489880164,-0.2139558792881749,1.4441231950825864e-08,2.8120646217422873,50.21610771057801,0.056616077838333854,0.9664775889650129
