model_id,feature,mean_abs_shap,mean_shap,min_shap,max_shap,coefficient
raw_structure_s7,Sn,0.23399417484895882,1.3717041230889965e-17,-0.9383440102198243,0.15375879898742173,-1.092102809207246
raw_structure_s7,Sn^2,0.15357732611332608,1.7146301538612457e-18,-0.09664328346012875,0.8318782671802812,0.92852155064041
raw_structure_s7,Cl,0.07338105013011174,6.858520615444983e-18,-0.03870813031303247,1.490254162057779,1.5289622923708113
raw_structure_s7,Br,0.07249367385468701,6.858520615444983e-18,-0.08072923831128372,0.31361038586001116,0.3943396241712949
raw_structure_s7,Br^2,0.04456235599921629,-3.3220959231061633e-18,-0.03388876308713005,0.29133858459466844,0.3252273476817985
raw_structure_s7,Cs,0.013516566737316264,-1.50030138462859e-18,-0.01121574546895648,0.08343282077999202,0.0946485662489485
raw_structure_s7,Cs*Sn,0.009198054760940108,4.286575384653114e-19,-0.1972411921783509,0.005060510705180792,-0.2023017028835317
raw_structure_s7,Sn*Br,0.005347472682461923,-2.143287692326557e-19,-0.09643835085136734,0.003002494052289712,-0.1484191714979956
raw_structure_s7,Sn*Cl,0.0015985307843119601,1.3395548077040982e-20,-0.1863257782715412,0.0008070555031906389,-0.18713283377473183
raw_structure_s7,Cl^2,0.0008797723578787317,-1.6074657692449177e-19,-0.00046226170926381077,0.025734283563765305,0.026196545273029115
