model_id,feature,mean_abs_shap,mean_shap,min_shap,max_shap,coefficient
m4_full_s3,Sn,0.23067502583494173,0.0,-0.9250338344501055,0.1515777687699602,-1.0766116032200657
m4_full_s3,Sn^2,0.14488460416375004,-1.7146301538612457e-18,-0.09117311925898199,0.7847926285935196,0.8759657478525016
m4_full_s3,Cl,0.07511724556767782,-5.1438904615837366e-18,-0.0396239645662496,1.525513571297506,1.5651375358637556
m4_full_s3,Br,0.07445814613459723,4.50090415388577e-18,-0.08291688231396835,0.32210876753878853,0.4050256498527569
m4_full_s3,Br^2,0.04526493182106943,-1.2859726153959342e-18,-0.03442305767375257,0.29593186609694655,0.33035492377069914
m4_full_s3,Cs,0.013239275429193006,0.0,-0.010985655328974532,0.08172120299537915,0.09270685832435369
m4_full_s3,Sn*Br,0.006874599923259192,6.429863076979671e-19,-0.1239791428082295,0.003859944053412938,-0.19080460725618273
m4_full_s3,Cs*Cl,0.004946104176734768,-6.429863076979671e-19,-0.32214044257925284,0.0025069295142354305,-0.32464737209348826
m4_full_s3,Cs*Br,0.003323141747529786,-2.143287692326557e-19,-0.0711067293622607,0.0021577493317171143,-0.07326447869397781
m4_full_s3,Cl^2,0.0018949747339690026,-5.3582192308163927e-20,-0.0009956828623808517,0.05543004018415746,0.05642572304653831
m4_full_s3,Sn*Cl,0.0008471505259010097,2.6791096154081963e-20,-0.09874441118104028,0.00042770367681941815,-0.0991721148578597
