model_id,variable,grid_value,held_Sn,held_Br,held_Cl,held_Cs,pdp_prediction_at_means,sensitivity_derivative,method_note
m4_full_s3,Sn,0.0,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6962962090407852,-1.1181838381442506,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.01,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.685201967234128,-1.1006645231872005,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.02,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6742829185770411,-1.0831452082301505,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.03,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6635390630695248,-1.0656258932731004,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.04,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.652970400711579,-1.0481065783160504,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.05,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.642576931503204,-1.0305872633590005,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.06,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6323586554443992,-1.0130679484019505,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.07,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6223155725351648,-0.9955486334449005,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.08,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6124476827755012,-0.9780293184878505,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.09,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.6027549861654078,-0.9605100035308004,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.1,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.593237482704885,-0.9429906885737503,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.11,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.583895172393933,-0.9254713736167004,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.12,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.574728055232551,-0.9079520586596503,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.13,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.56573613122074,-0.8904327437026003,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.14,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.556919400358499,-0.8729134287455502,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.15,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5482778626458287,-0.8553941137885003,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.16,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5398115180827292,-0.8378747988314502,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
m4_full_s3,Sn,0.17,0.1407915057915058,0.2047200772200772,0.025316602316602318,0.1184988416988417,1.5315203666691999,-0.8203554838744002,Analytic curve over observed min-max range with the other raw variables held at their training-set means.
