model_id,terms,train_rmse,train_r2,condition_number,max_vif,top_term_mean_abs_shap,top_grouped_mean_abs_shap
m4_pruned,"['Sn', 'Br', 'Cl', 'Cs', 'Sn^2', 'Br^2', 'Cs*Sn', 'Cs*Br']",0.05626078865030329,0.9668970026758805,22.0039723673984,15.79671657197823,"{'model_id': 'm4_pruned', 'feature': 'Sn', 'mean_abs_shap': 0.23620895478097836, 'mean_shap': -1.3717041230889965e-17, 'min_shap': -0.9472255367984544, 'max_shap': 0.15521414249154353, 'coefficient': -1.102439679289998}","{'model_id': 'm4_pruned', 'raw_variable': 'Br', 'mean_abs_grouped_shap': 0.11378100156347896, 'mean_grouped_shap': 1.0716438461632785e-18, 'min_grouped_shap': -0.11089166732042796, 'max_grouped_shap': 0.62161446595178, 'allocation_note': 'Main and square terms assigned to their raw variable; pairwise interaction terms split 50/50.'}"
m4_full_s3,"['Sn', 'Br', 'Cl', 'Cs', 'Sn^2', 'Br^2', 'Cl^2', 'Sn*Br', 'Sn*Cl', 'Cs*Br', 'Cs*Cl']",0.056616077838333854,0.9664775889650129,50.21610771057801,16.539725312493484,"{'model_id': 'm4_full_s3', 'feature': 'Sn', 'mean_abs_shap': 0.23067502583494173, 'mean_shap': 0.0, 'min_shap': -0.9250338344501055, 'max_shap': 0.1515777687699602, 'coefficient': -1.0766116032200657}","{'model_id': 'm4_full_s3', 'raw_variable': 'Br', 'mean_abs_grouped_shap': 0.11548885601533943, 'mean_grouped_shap': 4.50090415388577e-18, 'min_grouped_shap': -0.11433109329515588, 'max_grouped_shap': 0.6210494803283001, 'allocation_note': 'Main and square terms assigned to their raw variable; pairwise interaction terms split 50/50.'}"
raw_structure_s7,"['Sn', 'Br', 'Cl', 'Cs', 'Sn^2', 'Br^2', 'Cl^2', 'Sn*Br', 'Sn*Cl', 'Cs*Sn']",0.055911815897707204,0.9673063896408791,49.694547865844484,16.165180630556982,"{'model_id': 'raw_structure_s7', 'feature': 'Sn', 'mean_abs_shap': 0.23399417484895882, 'mean_shap': 1.3717041230889965e-17, 'min_shap': -0.9383440102198243, 'max_shap': 0.15375879898742173, 'coefficient': -1.092102809207246}","{'model_id': 'raw_structure_s7', 'raw_variable': 'Br', 'mean_abs_grouped_shap': 0.11439183869047959, 'mean_grouped_shap': -8.573150769306228e-19, 'min_grouped_shap': -0.11311675437226891, 'max_grouped_shap': 0.6064502174808244, 'allocation_note': 'Main and square terms assigned to their raw variable; pairwise interaction terms split 50/50.'}"
