model_id,term,coefficient,std_error,ci_95_low,ci_95_high,p_value,vif,condition_number,train_rmse,train_r2
raw_structure_s7,Intercept,1.5522092361260873,0.004828911691865747,1.542722095355907,1.5616963768962675,0.0,,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Sn,-1.092102809207246,0.03366439351301234,-1.1582416952710939,-1.0259639231433981,8.673472300866994e-126,15.487008790626309,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Br,0.3943396241712949,0.03323124604231486,0.3290517230272327,0.45962752531535717,7.840911528514664e-29,11.15608361051308,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Cl,1.5289622923708113,0.07655999982522624,1.3785483809028498,1.6793762038387727,6.827188431690963e-66,16.165180630556982,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Cs,0.0946485662489485,0.012763098960786956,0.06957349256129039,0.11972363993660662,5.115818608683459e-13,1.4930785646857034,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Sn^2,0.92852155064041,0.03828892127197476,0.8532970675218908,1.003746033758929,8.0040846434953185e-87,15.89284236955251,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Br^2,0.3252273476817985,0.03618531160931777,0.25413572974463194,0.39631896561896507,4.9927935270894236e-18,10.00306944633464,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Cl^2,0.026196545273029115,0.08971338527880965,-0.15005921780981935,0.20245230835587757,0.7704040503083769,16.098533938995985,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Sn*Br,-0.1484191714979956,0.044027843720385186,-0.2349186516782608,-0.061919691317730424,0.0008060273304894049,1.93705469234237,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Sn*Cl,-0.18713283377473183,0.05648304810658449,-0.2981024813287939,-0.07616318622066975,0.0009886626400924287,1.5787510899599233,49.694547865844484,0.055911815897707204,0.9673063896408791
raw_structure_s7,Cs*Sn,-0.2023017028835317,0.028037779346220544,-0.25738623880265377,-0.1472171669644096,1.9741306670145904e-12,2.338255562211091,49.694547865844484,0.055911815897707204,0.9673063896408791
