model_id,id,Sn,Br,Cl,Cs,Bg,prediction,shap_base_value,shap_term__Sn,shap_term__Br,shap_term__Cl,shap_term__Cs,shap_term__Sn^2,shap_term__Br^2,shap_term__Cs*Sn,shap_term__Cs*Br,shap_reconstruction_error
m4_pruned,0,0.0,0.2,0.0,0.17,1.61,1.6606982596514677,1.6512277992278002,0.15521414249154353,-0.0017167633060390596,-0.03855881486678118,0.0076028439990084296,-0.09553823896640644,-0.023676468342654647,0.006760353305067199,-0.0006165938900702784,4.440892098500626e-16
m4_pruned,1,0.0,0.5,0.5,1.0,2.49,2.6681486222369584,1.6512277992278002,0.15521414249154353,0.10739776338454221,0.7229733683340976,0.1301313603923003,-0.09553823896640644,0.05376965096110213,0.006760353305067199,-0.06378757689308827,4.440892098500626e-16
m4_pruned,2,0.0,0.167,0.0,0.13,1.63,1.639990277642765,1.6512277992278002,0.15521414249154353,-0.013719361242003,-0.03855881486678118,0.0016978552571630364,-0.09553823896640644,-0.028142896680215596,0.006760353305067199,0.001049439116597299,4.440892098500626e-16
m4_pruned,3,0.25,0.167,0.0,0.1,1.36,1.4112434210204845,1.6512277992278002,-0.12039577733095595,-0.013719361242003,-0.03855881486678118,-0.002730886299221007,-0.0381692018910443,-0.028142896680215596,3.965139000934317e-06,0.001728594963904424,4.440892098500626e-16
m4_pruned,4,0.75,0.0,0.0,0.2,1.2,1.2311946285346815,1.6512277992278002,-0.671615616975955,-0.07445978109975991,-0.03855881486678118,0.012031585555392472,0.4207830947118529,-0.0384281101147988,-0.03377797569133039,0.003992447788261507,4.440892098500626e-16
m4_pruned,5,0.0,0.008,0.0,0.03,1.6,1.5600459700942126,1.6512277992278002,0.15521414249154353,-0.07155006038801108,-0.03855881486678118,-0.013064616597450444,-0.09553823896640644,-0.03840450748796337,0.006760353305067199,0.003959913376414458,4.440892098500626e-16
m4_pruned,6,0.25,0.6,0.0,0.0,1.73,1.685469386194414,1.6512277992278002,-0.12039577733095595,0.14376927228140263,-0.03855881486678118,-0.017493358153834487,-0.0381692018910443,0.09433666583449853,0.006760353305067199,0.003992447788261507,4.440892098500626e-16
m4_pruned,7,0.0,0.14,0.0,0.0,1.62,1.6108648565350467,1.6512277992278002,0.15521414249154353,-0.023539668644155316,-0.03855881486678118,-0.017493358153834487,-0.09553823896640644,-0.031199805646448163,0.006760353305067199,0.003992447788261507,4.440892098500626e-16
m4_pruned,8,0.0,0.17,0.0,0.06,1.63,1.632680836525397,1.6512277992278002,0.15521414249154353,-0.012628215975097187,-0.03855881486678118,-0.0086358750410664,-0.09553823896640644,-0.027770048934424647,0.006760353305067199,0.002609735284761971,4.440892098500626e-16
m4_pruned,9,0.0,0.025,0.0,0.0,1.613,1.5620398112379965,1.6512277992278002,0.15521414249154353,-0.06536690387554481,-0.03855881486678118,-0.017493358153834487,-0.09553823896640644,-0.03819761571210904,0.006760353305067199,0.003992447788261507,4.440892098500626e-16
m4_pruned,10,0.0,0.157,0.0,0.07,1.6,1.6277539643859353,1.6512277992278002,0.15521414249154353,-0.017356512131689046,-0.03855881486678118,-0.007159627855605051,-0.09553823896640644,-0.029337779663759268,0.006760353305067199,0.002502642845765439,4.440892098500626e-16
m4_pruned,11,0.2,0.0,0.0,0.17,1.35,1.3848522017283165,1.6512277992278002,-0.06527379336645607,-0.07445978109975991,-0.03855881486678118,0.0076028439990084296,-0.058822055238174666,-0.0384281101147988,-0.002428334600782921,0.003992447788261507,4.440892098500626e-16
m4_pruned,12,0.0,0.17,0.0,0.25,1.63,1.6563509434547474,1.6512277992278002,0.15521414249154353,-0.012628215975097187,-0.03855881486678118,0.01941282148269921,-0.09553823896640644,-0.027770048934424647,0.006760353305067199,-0.0017688543096532245,4.440892098500626e-16
m4_pruned,13,0.0,0.2,0.0,0.2,1.48,1.6643136409116757,1.6512277992278002,0.15521414249154353,-0.0017167633060390596,-0.03855881486678118,0.012031585555392472,-0.09553823896640644,-0.023676468342654647,0.006760353305067199,-0.0014299541862464763,4.440892098500626e-16
m4_pruned,14,0.0,0.04,0.0,0.15,1.6,1.5891854563264654,1.6512277992278002,0.15521414249154353,-0.05991117754101574,-0.03855881486678118,0.004650349628085731,-0.09553823896640644,-0.03783804444391303,0.006760353305067199,0.0031790874920853097,4.440892098500626e-16
m4_pruned,15,0.0,0.15,0.0,0.05,1.606,1.6219360370102998,1.6512277992278002,0.15521414249154353,-0.01990251775446928,-0.03855881486678118,-0.010112122226527747,-0.09553823896640644,-0.03013031161796772,0.006760353305067199,0.0029757474180412604,4.440892098500626e-16
