term,frequency,percentage
Sn,30,100.0
Br,30,100.0
Cl,30,100.0
Cs,30,100.0
Sn^2,30,100.0
Br^2,30,100.0
Cl^2,0,0.0
Cs^2,0,0.0
Sn*Br,0,0.0
Sn*Cl,0,0.0
Br*Cl,0,0.0
Cs*Sn,30,100.0
Cs*Br,30,100.0
Cs*Cl,0,0.0
