provider,temperature,completed_runs,unique_final_structures,mean_pairwise_jaccard,cv_rmse_mean,cv_rmse_sd,test_rmse_mean,test_rmse_sd,test_rmse_min,test_rmse_max,top_structure_frequency,top_structure
qwen,0.2,10,7,0.7711111111111111,0.08655669694148295,0.056355010311168977,0.10465985301401759,0.09125054458992354,0.05634017432526924,0.277741406921881,3,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
qwen,0.7,10,2,0.9209876543209876,0.05824408951964561,0.00024634723261416676,0.06250046020191863,0.001564905990115096,0.06175816011399793,0.06546966055360141,8,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
qwen,1.0,10,3,0.8864197530864197,0.05879378230279159,0.0017145169180863681,0.06256736784426137,0.0015438034841678487,0.06175816011399793,0.06546966055360141,7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
deepseek,0.2,10,3,0.8864197530864197,0.058785869245277705,0.0010621072732197956,0.06298749638536293,0.001980727529971882,0.06175816011399793,0.0659440968735069,7,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
deepseek,0.7,10,3,0.9340740740740741,0.058207122256450326,0.0007971769688569507,0.061625375320984804,0.0021796355388631686,0.05650882298923467,0.06567964930862993,8,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
deepseek,1.0,10,5,0.8004938271604938,0.059539941316294295,0.002486740612832587,0.06116246565958236,0.0023218360033769904,0.05634017432526924,0.06567964930862993,5,Sn;Br;Cl;Cs;Sn^2;Br^2;Cs*Sn;Cs*Br
