provider,T,n,unique_structures,test_mean,test_median,test_iqr,test_min,test_max,cv_median
qwen,0.2,10,7,0.10465985301401756,0.06184780141326085,0.002950894435559473,0.0563401743252692,0.277741406921881,0.05861996025346775
qwen,0.7,10,2,0.0625004602019186,0.0617581601139979,0.0,0.0617581601139979,0.0654696605536014,0.0581272367670945
qwen,1.0,10,3,0.06256736784426134,0.0617581601139979,0.0005018073175705531,0.0617581601139979,0.0654696605536014,0.0581272367670945
deepseek,0.2,10,3,0.06298749638536291,0.0617581601139979,0.002941116895974011,0.0617581601139979,0.0659440968735069,0.0581272367670945
deepseek,0.7,10,3,0.06162537532098478,0.0617581601139979,0.0,0.0565088229892346,0.0656796493086299,0.0581272367670945
deepseek,1.0,10,5,0.06116246565958233,0.0617581601139979,0.0011446883624594006,0.0563401743252692,0.0656796493086299,0.058296140086351145
