model,terms,n_terms,fixed_cv_rmse,fixed_cv_rmse_sd,repeated_cv_rmse,repeated_cv_rmse_sd,train_rmse,train_mae,train_r2,test_rmse,test_mae,test_r2,cl_rich_test_rmse,ma_rich_test_rmse,max_vif,median_vif,aic,bic
Final M4 (CsCl),"Sn, Br, Cl, Cs, Sn2, Br2, CsSn, CsCl",8,0.0575317728241236,0.004134571711016,0.0580564366017105,0.008713845339812,0.0541077118381951,0.0392608748613451,0.9693821970017462,0.0606134717515385,0.0467607929599305,0.9765451159242244,0.1117968709066322,0.0749177159295239,15.786310623222803,5.567443691390053,-3003.782583443852,-2965.5328062635167
M4 terminal CsBr,"Sn, Br, Cl, Cs, Sn2, Br2, CsSn, CsBr",8,0.0581336449734565,0.0045920737255545,0.0590726437425837,0.0067504973745855,0.0562607886503032,0.0397587545926729,0.9668970026758804,0.0617581601139977,0.0466080030054229,0.9756508576022512,0.134861838561268,0.0812885366058238,15.79671657197823,5.952888857463507,-2963.356726551115,-2925.10694937078
Final M4 + Cl2,"Sn, Br, Cl, Cs, Sn2, Br2, CsSn, CsCl, Cl2",9,0.0582563241042427,0.004547577036485,0.0592608891231904,0.0107917033625372,0.0540320014268943,0.039036504254298,0.9694678211977804,0.0625080066918378,0.0474654618729716,0.9750559900409428,0.1226740268703674,0.0786779837335555,16.176671735661056,9.627088218708064,-3003.233225332108,-2960.733472909513
