Term,Bootstrap mean,Bootstrap SD,Bootstrap CI low,Bootstrap CI high,Bootstrap sign stability
Intercept,1.5544965237587751,0.0048511343393895,1.5449380841463756,1.564177342894007,1.0
Sn,-1.1009581972586953,0.0409472197427051,-1.1849788878135383,-1.025274982996332,1.0
Br,0.3477580278484397,0.0358704796095599,0.2753884184005615,0.416535966733132,1.0
Cl,1.623873080239583,0.0393536480749036,1.5488304091040517,1.7032589777718643,1.0
Cs,0.1243231102516162,0.0206829625340989,0.082179776430828,0.163093781266627,1.0
Sn²,0.9153517708957952,0.0456501763414535,0.8282817578348476,1.0061595184064658,1.0
Br²,0.3626288611104932,0.0377843918944909,0.2878747354673041,0.4367034276180088,1.0
Cs·Sn,-0.2274210318578338,0.0416795503038334,-0.3089597815848767,-0.1426161552610189,1.0
Cs·Cl,-0.3672039933008775,0.1488573009721044,-0.7262263481921188,-0.1487708620678903,0.999
