seed,program,length,depth,train_rmse,test_rmse,test_mae,test_r2
2,"add(add(Cl, Br), sub(1.462, mul(0.344, Sn)))",9,3,0.136366500072766,0.14178623464715387,0.09941465413477428,0.8716596823394116
4,"add(1.360, add(Cl, add(mul(Cl, Cl), Br)))",9,4,0.16061046004120158,0.16691786750762758,0.13598290747910297,0.8221308512511052
0,"add(add(1.415, Br), Cl)",5,2,0.1641890656214861,0.19197490682262627,0.14599211624086306,0.764720600946313
1,"add(sub(Cl, -1.440), Br)",5,2,0.16512538232546828,0.19209531921946926,0.1431300588919431,0.7644253598471241
3,"add(1.456, add(Cl, Br))",5,2,0.1676504174501765,0.19383449003974745,0.14317041043513204,0.7601404120401795
