Candidate,FA,MA,Cs,Pb,Sn,I,Br,Cl,Eg_pred,nearest_train_distance,target_distance
C01,0.7848201810613847,0.1530083483686864,0.06217147056992887,1.0,0.0,0.8571173165578702,0.1423644428302101,0.000518240611919952,1.6199992752367842,0.008505042678812282,7.247632158868811e-07
C02,0.8491783966019271,0.15065702615373702,0.00016457724433591633,0.9682765963279925,0.0317234036720076,0.7690932911107826,0.23090630315370753,4.0573550985451346e-07,1.619995947153905,0.044294838123269904,4.052846095170537e-06
C03,0.9073285968123356,8.401294093170886e-05,0.09258739024673257,0.9646760283215965,0.03532397167840348,0.7140871757047904,0.2821873258603635,0.0037254984348460687,1.6599956282084811,0.04042162187812417,4.371791518797963e-06
C04,0.31119441279618637,0.6821898068836454,0.00661578032016811,1.0,0.0,0.7617390636088878,0.23700698286286717,0.0012539535282451851,1.6600075452459693,0.04161803344885615,7.545245969353687e-06
C05,0.591341604400504,0.1850785067867614,0.22357988881273458,1.0,0.0,0.7393028189893271,0.2577753546703182,0.002921826340354724,1.70000480585924,0.028113183197607878,4.805859240120114e-06
C06,4.209923453514545e-05,0.9916202988481422,0.008337601917322607,0.9917467385190444,0.008253261480955619,0.6739507765841979,0.32415737724255966,0.0018918461732424438,1.7000093875612308,0.01701829548964375,9.387561230811414e-06
C07,0.5778730426044106,0.09696417092369972,0.3251627864718897,0.9886163152862448,0.011383684713755225,0.7336955102717717,0.2655105015944768,0.0007939881337514827,1.7000133427216895,0.029377719731246896,1.3342721689513226e-05
C08,1.3583577644115707e-05,0.9999660239066305,2.039251572548489e-05,0.779673667732239,0.22032633226776097,0.34466128055331924,0.6540819100638262,0.0012568093828545302,1.7399942541764233,0.05468618363100788,5.7458235767082755e-06
C09,0.0007678300698723586,0.9992314309597933,7.389703343342281e-07,0.9507040849613111,0.04929591503868894,0.5391571820572001,0.459805600393145,0.0010372175496549012,1.740022082230145,0.04983485872725745,2.208223014510402e-05
C10,0.763200373151537,0.0012474317843081003,0.2355521950641549,1.0,0.0,0.6001144253670346,0.39982418828709027,6.138634587518908e-05,1.7799953067690448,0.03557456026401559,4.693230955199468e-06
C11,0.8260155065026055,0.07277930449358891,0.10120518900380553,0.9934030666893148,0.0065969333106852554,0.5642216386087379,0.43505236157170474,0.0007259998195573985,1.780042545879199,0.04631259321384908,4.254587919905184e-05
C12,0.5483211940056486,0.3223197232500047,0.1293590827443467,1.0,0.0,0.579691177796397,0.42029549185370657,1.3330349896344426e-05,1.7800656210044459,0.11607666699060033,6.562100444584829e-05
